trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		177.12		228.38		255.3		308.6		159.34		187.66		215.82		274.9		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.48		154.52		157.38		159.52		164.4		169.07999999999998		150.0		150.0		150.0		150.0		150.0		150.0		152.04		153.36		150.0		150.0		150.0		150.0		150.0		150.0		155.5		158.2		150.0		150.0		150.0		150.0		150.0		150.0		159.06		162.86		150.0		150.0		150.0		150.0		150.0		150.0		166.72		172.9
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
3	IoI	iOi	0.4	20.4	0	0	-2	175.12	-2	226.38	-2	253.3	-2	306.6	0.4	159.74	0.4	188.06	0.4	216.22	0.4	275.29999999999995																																																																																																																																
4	aE	Ae	0.5	20.9	0	0			-2	224.38	-2	251.3	-2	304.6			0.5	188.56	0.5	216.72	0.5	275.79999999999995																																																																																																																																
5	Ioo	ioo	0.4	21.299999999999997	0	0							-2	302.6	0.4	160.14000000000001	0.4	188.96	0.4	217.12	0.4	276.19999999999993																																																									-2	155.38	-2	157.52	-2	162.4	-2	167.07999999999998																																																																
6	IEI	iei	0.4	21.699999999999996	0	0					-2	249.3	-2	300.6	0.4	160.54000000000002	0.4	189.36	0.4	217.52	0.4	276.5999999999999																																																																																																																																
7	ou	Oy	0.6666666666666666	22.366666666666664	0	0	-2	173.12	-2	222.38	-2	247.3	-2	298.6					0.6666666666666666	218.18666666666667	0.6666666666666666	277.2666666666666																																																																																																																																
8	uIE	yie	0.4	22.766666666666662	0	0			-2	220.38	-2	245.3	-2	296.6	0.4	160.94000000000003	0.4	189.76000000000002	0.4	218.58666666666667	0.4	277.6666666666666																																																																																																																																
9	III	iii	0.4	23.16666666666666	0	0							-2	294.6	0.4	161.34000000000003	0.4	190.16000000000003	0.4	218.98666666666668	0.4	278.06666666666655																																																																																																																																
10	aIo	aio			0.4	0.4							-2	292.6	0.4	161.74000000000004	0.4	190.56000000000003	0.4	219.38666666666668	0.4	278.4666666666665																																																									-2	153.38	-2	155.52	-2	160.4	-2	165.07999999999998																																																													-2	164.72	-2	170.9
12	Eou	eOy	0.5	23.66666666666666	0	0.4	-2	171.12	-2	218.38	-2	243.3	-2	290.6			0.5	191.06000000000003	0.5	219.88666666666668	0.5	278.9666666666665																																																																																																																																
14	aaI	aai			0.4	0.8							-2	288.6	0.4	162.14000000000004	0.4	191.46000000000004	0.4	220.2866666666667	0.4	279.3666666666665																																																																																																																													-2	162.72	-2	168.9
16	oaI	OAi	0.4	24.06666666666666	0	0.8	-2	169.12	-2	216.38	-2	241.3	-2	286.6	0.4	162.54000000000005	0.4	191.86000000000004	0.4	220.6866666666667	0.4	279.7666666666665																																																																																																																																
17	aua	AyA	1.0	25.06666666666666	0	0.8			-2	214.38	-2	239.3	-2	284.6							1.0	280.7666666666665																																																																																																																																
18	EuI	eyi	0.4	25.466666666666658	0	0.8			-2	212.38	-2	237.3	-2	282.6	0.4	162.94000000000005	0.4	192.26000000000005	0.4	221.0866666666667	0.4	281.16666666666646																																																																																																																																
