trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		193.23807475399497		184.2688789205644		139.84529181877517		157.48089929275994		186.79322873513905		120.87949768056905		154.73527825879646		167.5833164244003		127.15438498600598		185.25878526786835		163.6004349872883		183.3926381289557		189.74995830031594		173.79222914963668		158.25512120262147		187.08537399413055		167.49164597412647		144.44964010671154		166.73907826487465		174.85076543533285		102.54356746019478		146.7319027092509		197.68420435358917		158.2636957784805		172.92388733983358		151.36492436035388		120.92897063343621		178.36205231001307		160.6651658172747		105.3290165851677		109.91668764854973		111.77803143045976		177.59294706067072		104.85042288040337		156.80708256456796		163.2970106611135		178.1893101035668		147.6126192856231		103.10415700528687		106.39312566390461		126.29432425111384		148.40544260260717		162.6918651057595		116.88360162744361		110.93047685515961		191.31817125267003		141.23084732875878		140.92008083249863		120.27604789442955		104.97079577645172		163.35340492323064		170.97852320038794		183.74630402540188		109.42380243169664		152.34985360119927		101.94328532869424		158.6257704828978		127.26690250949285		190.48575248219925		140.93641041043497		149.61127651083228		196.5983146230492		117.81395234533778		102.37875475550305		118.064608928942		129.71483046346611		105.24085815509606		131.35115291620428		154.36744083501065		118.02737143186161		109.49082107847101		176.58897892233978
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	aui	Aui	4.5	24.5	0	0			-2	182.2688789205644	-2	137.84529181877517	-2	155.48089929275994							4.5	172.0833164244003																													-2	195.68420435358917	-2	156.2636957784805													-2	107.91668764854973	-2	109.77803143045976													-2	101.10415700528687	-2	104.39312566390461																																																															4.5	181.08897892233978
7	ioE	ioe			2.5	2.5					-2	135.84529181877517	-2	153.48089929275994			2.5	123.37949768056905	2.5	157.23527825879646	2.5	174.5833164244003																																																							2.5	165.7970106611135			2.5	150.1126192856231			2.5	106.89312566390461																																									-2	147.61127651083228	-2	194.5983146230492	-2	115.81395234533778	-2	100.37875475550305									-2	152.36744083501065	-2	116.02737143186161	-2	107.49082107847101	-2	179.08897892233978
8	oi	Oi	1.0	25.5	0	2.5	-2	191.23807475399497	-2	180.2688789205644	-2	133.84529181877517	-2	151.48089929275994					1.0	158.23527825879646	1.0	175.5833164244003																																																																																																													1.0	116.81395234533778	1.0	101.37875475550305													1.0	108.49082107847101	1.0	180.08897892233978
9	aEo	Aeo	5.2	30.7	0	2.5			-2	178.2688789205644	-2	131.84529181877517	-2	149.48089929275994			5.2	128.57949768056903	5.2	163.43527825879644	5.2	180.78331642440028																											-2	144.7319027092509			-2	154.2636957784805									-2	158.6651658172747	-2	103.3290165851677	-2	105.91668764854973	-2	107.77803143045976									-2	176.1893101035668	-2	148.1126192856231	-2	99.10415700528687	-2	104.89312566390461																																																																
10	oa	Oa	6.0	36.7	0	2.5	-2	189.23807475399497	-2	176.2688789205644	-2	129.84529181877517	-2	147.48089929275994					6.0	169.43527825879644	6.0	186.78331642440028													-2	156.25512120262147	-2	185.08537399413055													-2	193.68420435358917	-2	152.2636957784805													-2	103.91668764854973	-2	105.77803143045976													-2	97.10415700528687	-2	102.89312566390461																																																																
11	ooE	ooe			4.0	6.5					-2	127.84529181877517	-2	145.48089929275994			4.0	132.57949768056903	4.0	173.43527825879644	4.0	190.78331642440028																																																																																																									-2	145.61127651083228	-2	192.5983146230492	-2	114.81395234533778	-2	99.37875475550305									-2	150.36744083501065	-2	114.02737143186161	-2	106.49082107847101	-2	178.08897892233978
12	eOi	eoi			4.666666666666667	11.166666666666668	4.666666666666667	193.90474142066162	4.666666666666667	180.93554558723105	4.666666666666667	132.51195848544182	4.666666666666667	150.1475659594266					-2	171.43527825879644	-2	188.78331642440028																																									-2	156.6651658172747	-2	101.3290165851677	-2	101.91668764854973	-2	103.77803143045976									-2	174.1893101035668	-2	146.1126192856231	-2	95.10415700528687	-2	100.89312566390461																																													-2	112.81395234533778	-2	97.37875475550305													-2	104.49082107847101	-2	176.08897892233978
13	oEa	oea			5.6	16.766666666666666					-2	130.51195848544182	-2	148.1475659594266			5.6	138.17949768056903	5.6	177.03527825879644	5.6	194.38331642440028																																													-2	99.91668764854973	-2	101.77803143045976													-2	93.10415700528687	-2	98.89312566390461																																									-2	143.61127651083228	-2	190.5983146230492	-2	110.81395234533778	-2	95.37875475550305									-2	148.36744083501065	-2	112.02737143186161	-2	102.49082107847101	-2	174.08897892233978
