trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		171.03713670409692		156.4148592365089		184.43301517270817		157.59644001219303		157.45740323059024		161.15177224507343		158.36798233412415		191.47989817765952		192.7145129054284		161.54761274939753		177.14728087604433		154.11305826314754		197.73497515697358		190.91735731406823		195.32297264121996		177.6319544588527		171.82493915737786		154.17492629064702		176.33123518577264		193.94473900147347		168.73969397969535		158.56529244155342		177.7505727305103		196.0931881901327		188.1454227417295		151.30133168005509		160.36575196638032		172.64208129500386		171.38540168023303		187.7559072231293		167.22060002454867		193.03436381183093		151.05134471572657		165.25881164332154		172.2291848326535		150.17275675815316		177.47334983914345		154.54068007691643		193.10957977195125		163.060848265909		164.46803285544453		198.43154014733094		181.21859578157415		163.8096268522641		176.27575291970157		153.54695465025026		160.5808904944999		152.05785419744896		155.3350019256265		179.65042602069636		197.00280475647864		191.85096912629874		167.3800695202359		182.72424258843907		173.9376678315719		191.18421333744237		185.1892230870878		173.54406054332213		175.4380974585163		199.6425372358647		163.24305570473643		157.48349603491312		199.43325486835133		171.51628871138618		190.31503695371424		193.98648954389745		154.95228009319698		199.33887005863454		169.7890372245657		196.06103510923498		164.53378606464696		150.7928278030508
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
2	AAA	aaa	0.4	30.4	0	0			0.4	156.8148592365089	0.4	184.83301517270817	0.4	157.99644001219303							-2	189.47989817765952																																																																																																																																
3	yi	ui	1.2	31.599999999999998	0	0			1.2	158.0148592365089	1.2	186.03301517270816	1.2	159.19644001219302							-2	187.47989817765952																																																																																																																													-2	162.53378606464696	-2	148.7928278030508
4	Aie	aiE	4.4	36.0	0	0			4.4	162.4148592365089	4.4	190.43301517270817	4.4	163.59644001219303			-2	159.15177224507343	-2	156.36798233412415	-2	185.47989817765952																																																					-2	170.2291848326535	-2	148.17275675815316	-2	175.47334983914345	-2	152.54068007691643	-2	191.10957977195125	-2	161.060848265909																																																													-2	160.53378606464696	-2	146.7928278030508
5	ooa	OOA	2.0	38.0	0	0	-2	169.03713670409692	-2	160.4148592365089	-2	188.43301517270817	-2	161.59644001219303					2.0	158.36798233412415	2.0	187.47989817765952																																																																																																																																
6	Oii	oii	2.0	40.0	0	0	2.0	171.03713670409692	2.0	162.4148592365089	2.0	190.43301517270817	2.0	163.59644001219303					-2	156.36798233412415	-2	185.47989817765952																																																																																																													-2	197.43325486835133	-2	169.51628871138618													-2	158.53378606464696	-2	144.7928278030508
7	Iuu	iyy	1.0	41.0	0	0			-2	160.4148592365089	-2	188.43301517270817	-2	161.59644001219303	1.0	158.45740323059024	1.0	160.15177224507343	1.0	157.36798233412415	1.0	186.47989817765952																																																																																																																																
8	EuI	eyi	1.0	42.0	0	0			-2	158.4148592365089	-2	186.43301517270817	-2	159.59644001219303	1.0	159.45740323059024	1.0	161.15177224507343	1.0	158.36798233412415	1.0	187.47989817765952																																																																																																																																
10	iAA	Iaa	1.6	43.6	0	0			1.6	160.0148592365089	1.6	188.03301517270816	1.6	161.19644001219302	-2	157.45740323059024	-2	159.15177224507343	-2	156.36798233412415	-2	185.47989817765952																																																																																																																																
