trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	oou	Oou	2	2	2	2	-2	98	-2	98	-2	98	-2	98					2	102	2	102									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98																																																																
2	iO	io			2	4	2	100	2	100	2	100	2	100					-2	100	-2	100																																																									-2	96	-2	96	-2	96	-2	96																																																																
3	AOa	aoa	2	4	2	6	2	102	2	102	2	102	2	102					-2	98	-2	98													2	100	2	100													2	100	2	100													2	100	2	100													2	98	2	98																																																																
4	uuE	uue			2	8					-2	100	-2	100			2	102	2	100	2	100																																																																																																																									-2	98	-2	98	-2	98	-2	98
6	uE	ue			2	10					0	100	0	100			2	104	2	102	2	102																																																																																																																									0	98	0	98	0	98	0	98
7	yii	uii	2	6	2	12			2	104	2	102	2	102							-2	100																																																																																																																													0	98	0	98
9	aio	Aio	2	8	2	14			-2	102	-2	100	-2	100							2	102																											0	98			-2	98											0	98			-2	98																																																																													2	100	2	100
10	yii	uii	2	10	2	16			2	104	2	102	2	102							-2	100																																																																																																																													0	100	0	100
11	uaa	yaa	2	12	2	18			-2	102	-2	100	-2	100							2	102																													-2	98	0	98													-2	98	0	98													0	98	0	98																																																																
13	aui	Aui	2	14	2	20			-2	100	0	100	0	100							2	104																													0	98	0	98													0	98	0	98													0	98	0	98																																																															2	102
14	eiA	Eia	2	16	2	22			2	102	2	102	2	102			-2	102	-2	100	-2	102																																																													0	98	0	98																													-2	98	-2	98													-2	98	-2	98													-2	98	-2	100
16	aEi	Aei	2	18	2	24			-2	100	-2	100	-2	100			2	104	2	102	2	104																																																																																													2	100	2	100													2	100	2	100													2	100	2	102
17	iyO	iuo			2	26	2	104	2	102	2	102	2	102					-2	100	-2	102																																																											0	96	0	98	0	98																																																																
18	oIu	Oiu	2	20	2	28	-2	102	0	102	0	102	0	102	2	102	2	106	2	102	2	104															0	100															0	98															0	98													0	98	0	98																																																																
19	eAy	eau			2	30			2	104	2	104	2	104							-2	102																																													0	98	0	98													0	98	0	98																																																																
21	eoo	Eoo	2	22	2	32					2	106	2	106			-2	104	0	102	0	102																																									2	100	2	100	2	100	2	100									2	98	2	98	2	100	2	100																																																																
22	EIE	Eie			2	34					-2	104	-2	104	2	104	2	106	2	104	2	104																																																																																											0	100	0	100	0	100											0	100	0	100	0	100											0	98	0	100	0	102
23	eyi	eui			2	36			2	106	2	106	2	106							-2	102																																													0	100	0	100													0	100	0	100																																																													0	100	0	102
24	oIE	Oie	2	24	2	38	0	102	-2	104	-2	104	-2	104	2	106	2	108	2	106	2	104																																																																																																																																
25	aai	Aai	2	26	2	40			-2	102	-2	102	-2	102							2	106																													0	98	0	98													0	100	0	100													0	100	0	100																																																															2	104
26	yeO	ueo	2	28	2	42	2	104	2	104	2	104	2	104					-2	104	-2	104																																									0	100	0	100	0	100	0	100									0	98	0	98	0	100	0	100																																																									0	98	0	98	0	100	-2	102
27	IaE	iae	2	30	2	44					0	104	0	104	2	108	2	110	2	106	2	106																																																													0	100	0	100																																																									0	98	0	98	0	100	0	102
28	OOA	Ooa			2	46	2	106	2	106	2	106	2	106					-2	104	-2	104									0	98	0	98	0	100	0	100									0	98	0	98	0	98	0	98									0	100	0	100	0	100	0	100									0	98	0	98	0	100	0	100																																																																
29	aie	Aie	2	32	2	48			-2	104	-2	104	-2	104							2	106																																																																																																																											2	100	2	102	2	104
30	iAy	iau			2	50			2	106	2	106	2	106							-2	104																																																													0	100	0	100																																																																
34	eOO	Eoo	2	34	2	52	2	108	2	108	2	108	2	108			-2	108	0	104	0	104																																																																																																																																
35	aoa	Aoa	2	36	2	54			-2	106	-2	106	-2	106							2	106																									0	98	0	98	0	98	0	98									0	100	0	100	0	100	0	100									0	98	0	98	0	100	0	100																																																																
37	uuo	yuo	2	38	2	56			-2	104	-2	104	-2	104							2	108																											0	98	0	98	0	98											0	100	0	100	0	100											0	98	0	100	0	100																																																																
38	eAy	Eau	2	40	2	58			2	106	2	106	2	106			-2	106	-2	102	-2	106																																																																																																																																
39	ooo	Ooo	2	42	2	60	-2	106	-2	104	-2	104	-2	104					2	104	2	108									0	98	0	98	0	100	0	100									0	98	0	98	0	98	0	98									0	100	0	100	0	100	0	100									0	98	0	98	0	100	0	100																																																																
41	yey	ueu	2	44	2	62			2	106	2	106	2	106							-2	106																																													0	100	0	100													0	100	0	100																																																									0	98	0	100	0	102	-2	102
42	oEE	Oee	2	46	2	64	-2	104	-2	104	-2	104	-2	104			2	108	2	106	2	108																																																																																																																																
43	OAA	Oaa			2	66			2	106	2	106	2	106							-2	106													0	100	0	100													0	98	0	98													0	100	0	100													0	100	0	100																																																																
44	aOu	aou			2	68	2	106	2	108	2	108	2	108					-2	104	-2	104													2	102	2	102													2	100	2	100													2	102	2	102													2	102	2	102																																																	2	102	2	102	2	102	2	102	2	100	2	102	2	104	2	104
45	ao	Ao	2	48	2	70			-2	106	-2	106	-2	106							2	106																									0	98	0	98	0	100	0	100									0	100	0	100	0	102	0	102									0	98	0	98	0	102	0	102																																																																
47	yAO	yao			2	72	2	108	2	108	2	108	2	108					0	104	-2	104																											0	98	0	100	0	100											0	100	0	102	0	102											0	98	0	102	0	102																																																																
48	Eu	eu	2	50	2	74					-2	106	-2	106			2	110	2	106	2	106																																													0	102	0	102													0	102	0	102																																																																
49	yAi	yai			2	76			2	110	2	108	2	108							0	106																													0	100	0	100													0	102	0	102													0	102	0	102																																																													0	104	0	104
50	oEE	Oee	2	52	2	78	0	108	-2	108	0	108	0	108			2	112	2	108	2	108																																																																																																																																
