trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		39.54545454545455		68.63636363636363		83.18181818181819		97.72727272727273		39.54545454545455		54.09090909090909		68.63636363636363		97.72727272727273		25.954545454545453		26.363636363636363		26.90909090909091		27.727272727272727		27.863636363636363		29.09090909090909		29.772727272727273		31.818181818181817		27.863636363636363		28.81818181818182		30.727272727272727		32.63636363636364		33.59090909090909		36.45454545454545		39.31818181818182		44.09090909090909		28.81818181818182		29.90909090909091		32.63636363636364		34.81818181818182		36.45454545454545		39.72727272727273		44.09090909090909		49.54545454545455		29.772727272727273		30.90909090909091		34.54545454545455		36.81818181818182		39.31818181818182		42.72727272727273		48.86363636363636		54.54545454545455		25.954545454545453		26.363636363636363		27.863636363636363		28.81818181818182		28.81818181818182		29.90909090909091		29.772727272727273		30.90909090909091		26.90909090909091		27.727272727272727		30.727272727272727		32.63636363636364		32.63636363636364		34.81818181818182		34.54545454545455		36.81818181818182		27.863636363636363		29.09090909090909		33.59090909090909		36.45454545454545		36.45454545454545		39.72727272727273		39.31818181818182		42.72727272727273		29.772727272727273		31.818181818181817		39.31818181818182		44.09090909090909		44.09090909090909		49.54545454545455		48.86363636363636		54.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	uuI	uui			0.3333333333333333	0.3333333333333333							-2	95.72727272727273	0.3333333333333333	39.87878787878788	0.3333333333333333	54.42424242424243	0.3333333333333333	68.96969696969695	0.3333333333333333	98.06060606060606																																																																																																																													-2	46.86363636363636	-2	52.54545454545455
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	20.333333333333332																																																																																																																																																			
4	yeO	ueo	0.3333333333333333	20.666666666666664	0	0.3333333333333333	0.3333333333333333	39.87878787878788	0.3333333333333333	68.96969696969695	0.3333333333333333	83.51515151515152	0.3333333333333333	96.06060606060606					-2	66.96969696969695	-2	96.06060606060606																																									-2	34.45454545454545	-2	37.72727272727273	-2	42.09090909090909	-2	47.54545454545455									-2	37.31818181818182	-2	40.72727272727273	-2	46.86363636363636	-2	52.54545454545455																																																									-2	42.09090909090909	-2	47.54545454545455	-2	44.86363636363636	-2	50.54545454545455
5	EoE	eoe	0.4	21.066666666666663	0	0.3333333333333333					-2	81.51515151515152	-2	94.06060606060606			0.4	54.82424242424243	0.4	67.36969696969696	0.4	96.46060606060607																																									-2	32.45454545454545	-2	35.72727272727273	-2	40.09090909090909	-2	45.54545454545455									-2	35.31818181818182	-2	38.72727272727273	-2	44.86363636363636	-2	50.54545454545455																																									-2	34.45454545454545	-2	37.72727272727273	-2	37.31818181818182	-2	40.72727272727273									-2	40.09090909090909	-2	45.54545454545455	-2	42.86363636363636	-2	48.54545454545455
6	OeA	oea	0.3333333333333333	21.399999999999995	0	0.3333333333333333	0.3333333333333333	40.21212121212122	0.3333333333333333	69.30303030303028	0.3333333333333333	81.84848484848484	0.3333333333333333	94.39393939393939					-2	65.36969696969696	-2	94.46060606060607																																													-2	38.09090909090909	-2	43.54545454545455													-2	42.86363636363636	-2	48.54545454545455																																									-2	32.45454545454545	-2	35.72727272727273	-2	35.31818181818182	-2	38.72727272727273									-2	38.09090909090909	-2	43.54545454545455	-2	40.86363636363636	-2	46.54545454545455
8	yOe	uoe	0.3333333333333333	21.733333333333327	0	0.3333333333333333	0.3333333333333333	40.545454545454554	0.3333333333333333	69.63636363636361	0.3333333333333333	82.18181818181817	0.3333333333333333	94.72727272727272					-2	63.36969696969696	-2	92.46060606060607																																																																																																									-2	30.454545454545453	-2	33.72727272727273	-2	33.31818181818182	-2	36.72727272727273									-2	36.09090909090909	-2	41.54545454545455	-2	38.86363636363636	-2	44.54545454545455
9	uaa	yAA	0.6666666666666666	22.399999999999995	0	0.3333333333333333			-2	67.63636363636361	-2	80.18181818181817	-2	92.72727272727272							0.6666666666666666	93.12727272727274																																																																																																																																
11	EuI	eyi	0.3333333333333333	22.733333333333327	0	0.3333333333333333			-2	65.63636363636361	-2	78.18181818181817	-2	90.72727272727272	0.3333333333333333	40.21212121212122	0.3333333333333333	55.15757575757576	0.3333333333333333	63.703030303030296	0.3333333333333333	93.46060606060607																																																																																																																																
