trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	yAy	uau	0.4	20.4	0	0			0.4	94.03636363636363	0.4	108.58181818181819	0.4	123.12727272727274							-2	120.72727272727273																																																																																																																																
2	uEE	uee			0.4	0.4					-2	106.58181818181819	-2	121.12727272727274			0.4	79.4909090909091	0.4	94.03636363636363	0.4	121.12727272727274																																																																																																																									-2	67.0909090909091	-2	72.54545454545455	-2	71.86363636363636	-2	77.54545454545455
4	yiA	uia	0.4	20.799999999999997	0	0.4			0.4	94.43636363636364	0.4	106.9818181818182	0.4	121.52727272727275							-2	119.12727272727274																																																													-2	71.86363636363636	-2	77.54545454545455																																																													-2	69.86363636363636	-2	75.54545454545455
5	EIo	eio	0.3333333333333333	21.13333333333333	0	0.4					-2	104.9818181818182	-2	119.52727272727275	0.3333333333333333	64.87878787878788	0.3333333333333333	79.82424242424243	0.3333333333333333	94.36969696969696	0.3333333333333333	119.46060606060607																																											-2	62.727272727272734			-2	72.54545454545455									-2	62.31818181818181	-2	65.72727272727272	-2	69.86363636363636	-2	75.54545454545455																																																																
7	Iaa	iaa	0.3333333333333333	21.46666666666666	0	0.4							-2	117.52727272727275	0.3333333333333333	65.2121212121212	0.3333333333333333	80.15757575757576	0.3333333333333333	94.70303030303029	0.3333333333333333	119.7939393939394																																																													-2	67.86363636363636	-2	73.54545454545455																																																																
8	aao	AAO	0.5	21.96666666666666	0	0.4	-2	62.54545454545455	-2	92.43636363636364	-2	102.9818181818182	-2	115.52727272727275					0.5	95.20303030303029	0.5	120.2939393939394																																																																																																																																
9	OA	oa	0.3333333333333333	22.299999999999994	0	0.4	0.3333333333333333	62.87878787878788	0.3333333333333333	92.76969696969697	0.3333333333333333	103.31515151515153	0.3333333333333333	115.86060606060607					-2	93.20303030303029	-2	118.2939393939394																																																																																																																																
12	eOA	eoa			0.3333333333333333	0.7333333333333334	0.3333333333333333	63.21212121212122	0.3333333333333333	93.1030303030303	0.3333333333333333	103.64848484848486	0.3333333333333333	116.1939393939394					-2	91.20303030303029	-2	116.2939393939394																																									-2	59.45454545454545	-2	60.727272727272734	-2	67.0909090909091	-2	70.54545454545455									-2	60.31818181818181	-2	63.72727272727272	-2	65.86363636363636	-2	71.54545454545455																																																																
