trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	auu	Auu	0.6666666666666666	20.666666666666668	0	0			-2	91.63636363636363	-2	106.18181818181819	-2	120.72727272727273							0.6666666666666666	123.3939393939394																													-2	62.31818181818181	-2	67.0909090909091													-2	67.0909090909091	-2	72.54545454545455													-2	71.86363636363636	-2	77.54545454545455																																																																
2	Aie	aie	0.4	21.066666666666666	0	0			0.4	92.03636363636363	0.4	106.58181818181819	0.4	121.12727272727274							-2	121.3939393939394																																																																																																																											-2	72.54545454545455	-2	71.86363636363636	-2	77.54545454545455
4	aao	Aao	0.6666666666666666	21.733333333333334	0	0			-2	90.03636363636363	-2	104.58181818181819	-2	119.12727272727274							0.6666666666666666	122.06060606060608																											-2	59.45454545454545	-2	60.31818181818181	-2	65.0909090909091											-2	62.727272727272734	-2	65.0909090909091	-2	70.54545454545455											-2	65.72727272727272	-2	69.86363636363636	-2	75.54545454545455																																																																
5	yye	uue	0.4	22.133333333333333	0	0			0.4	90.43636363636364	0.4	104.9818181818182	0.4	119.52727272727275							-2	120.06060606060608																																																																																																																									-2	67.0909090909091	-2	70.54545454545455	-2	69.86363636363636	-2	75.54545454545455
6	aIu	aiu			0.3333333333333333	0.3333333333333333							-2	117.52727272727275	0.3333333333333333	64.87878787878788	0.3333333333333333	79.42424242424242	0.3333333333333333	93.96969696969695	0.3333333333333333	120.3939393939394																																																													-2	67.86363636363636	-2	73.54545454545455																																																													-2	67.86363636363636	-2	73.54545454545455
7	eyy	Euu	0.4	22.53333333333333	0	0.3333333333333333			0.4	90.83636363636364	0.4	105.3818181818182	0.4	117.92727272727275			-2	77.42424242424242	-2	91.96969696969695	-2	118.3939393939394																																																																																																																																
8	OOi	Ooi			0.3333333333333333	0.6666666666666666	0.3333333333333333	64.87878787878788	0.3333333333333333	91.16969696969697	0.3333333333333333	105.71515151515153	0.3333333333333333	118.26060606060608					-2	89.96969696969695	-2	116.3939393939394									-2	50.86363636363637	-2	52.09090909090909	-2	52.77272727272727	-2	54.81818181818182									-2	56.59090909090909	-2	57.45454545454545	-2	58.31818181818181	-2	63.09090909090909									-2	59.45454545454545	-2	60.727272727272734	-2	63.09090909090909	-2	68.54545454545455									-2	62.31818181818181	-2	63.72727272727272	-2	65.86363636363636	-2	71.54545454545455																																													-2	62.31818181818181	-2	65.72727272727272													-2	65.86363636363636	-2	71.54545454545455
9	OAO	oao	0.3333333333333333	22.866666666666664	0	0.6666666666666666	0.3333333333333333	65.2121212121212	0.3333333333333333	91.5030303030303	0.3333333333333333	106.04848484848486	0.3333333333333333	118.59393939393941					-2	87.96969696969695	-2	114.3939393939394																																																																																																																																
