trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		55.68		66.95		90.72		114.42999999999999		50.0		55.44		79.62		127.78		50.0		50.0		50.0		50.0		51.34		52.37		53.61		56.6		50.0		50.0		50.0		50.0		53.7		56.53		60.28		68.8		50.0		50.0		50.0		50.0		56.6		59.66		68.66		78.06		50.0		50.0		50.0		50.0		59.26		62.08		76.94		85.85		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.06		51.82		52.16		53.27		50.0		50.0		50.0		50.0		53.88		55.46		57.76		60.09		50.0		50.0		50.0		50.0		59.54		62.66		68.75		73.45
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	eiA	Eia	2	12	0	0			2	68.95	2	92.72	2	116.42999999999999			-2	53.44	-2	77.62	-2	125.78																																																													-2	74.94	-2	83.85																													-2	50.16	-2	51.27													-2	55.76	-2	58.09													-2	66.75	-2	71.45
2	eOi	eoi			2	2	2	57.68	2	70.95	2	94.72	2	118.42999999999999					-2	75.62	-2	123.78																																									-2	54.6	-2	57.66	-2	66.66	-2	76.06									-2	57.26	-2	60.08	-2	72.94	-2	81.85																																													-2	53.76	-2	56.09													-2	64.75	-2	69.45
3	yAe	uae	2	14	0	2			2	72.95	2	96.72	2	120.42999999999999							-2	121.78																																																																																																																									-2	57.54	-2	60.66	-2	62.75	-2	67.45
4	eAO	Eao	2	16	0	2	2	59.68	2	74.95	2	98.72	2	122.42999999999999			-2	51.44	-2	73.62	-2	119.78																																																																																																																																
6	uII	uii			2	4							-2	120.42999999999999	2	52.0	2	53.44	2	75.62	2	121.78																																																																																																																													-2	60.75	-2	65.45
7	eei	Eei	2	18	0	4					2	100.72	2	122.42999999999999			-2	51.44	-2	73.62	-2	119.78																																																																																									-2	49.06	-2	49.82	-2	48.16	-2	49.27									-2	51.88	-2	53.46	-2	51.76	-2	54.09									-2	55.54	-2	58.66	-2	58.75	-2	63.45
10	oaa	Oaa	2	20	0	4	-2	57.68	-2	72.95	-2	98.72	-2	120.42999999999999					2	75.62	2	121.78													-2	51.61	-2	54.6													-2	58.28	-2	66.8													-2	64.66	-2	74.06													-2	70.94	-2	79.85																																																																
11	aaI	Aai	2	22	0	4			-2	70.95	-2	96.72	-2	118.42999999999999	2	54.0	2	53.44	2	77.62	2	123.78																													-2	56.28	-2	64.8													-2	62.66	-2	72.06													-2	68.94	-2	77.85																																																													-2	56.75	-2	61.45
