trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		113.09		139.32		152.55		178.95999999999998		104.5		118.84		133.16		163.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.67		102.31		103.4		104.57		107.02		109.47		100.0		100.0		100.0		100.0		100.0		100.0		100.83		101.47		100.0		100.0		100.0		100.0		100.0		100.0		102.78		104.01		100.0		100.0		100.0		100.0		100.0		100.0		104.37		106.28		100.0		100.0		100.0		100.0		100.0		100.0		108.22		111.47
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	au	Ay	2	12	0	0			-2	137.32	-2	150.55	-2	176.95999999999998							2	165.0																																																																																																																																
2	Ioa	ioa	2	14	0	0							-2	174.95999999999998	2	106.5	2	120.84	2	135.16	2	167.0																																																									-2	101.4	-2	102.57	-2	105.02	-2	107.47																																																																
3	uE	ye	2	16	0	0			-2	135.32	-2	148.55	-2	172.95999999999998			2	122.84	2	137.16	2	169.0																																																																																																																																
4	IEo	ieO	2	18	0	0	-2	111.09	-2	133.32	-2	146.55	-2	170.95999999999998	2	108.5	2	124.84	2	139.16	2	171.0																																																																																																																																
7	iAO	iao			2	2	2	113.09	2	135.32	2	148.55	2	172.95999999999998					-2	137.16	-2	169.0																																																											-2	100.57	-2	103.02	-2	105.47																																																																
8	aaa	AAA	2	20	0	2			-2	133.32	-2	146.55	-2	170.95999999999998							2	171.0																																																																																																																																
9	oEo	OeO	2	22	0	2	-2	111.09	-2	131.32	-2	144.55	-2	168.95999999999998			2	126.84	2	139.16	2	173.0																																																																																																																																
12	yyy	uuu	2	24	0	2			2	133.32	2	146.55	2	170.95999999999998							-2	171.0																																																																																																																																
