trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		126.12		176.38		201.07999999999998		255.64		108.54		137.34		167.18		228.42		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.34		104.18		107.1		109.28		114.48		119.2		100.0		100.0		100.0		100.0		100.0		100.0		101.78		103.2		100.0		100.0		100.0		100.0		100.0		100.0		105.32		107.94		100.0		100.0		100.0		100.0		100.0		100.0		108.8		112.62		100.0		100.0		100.0		100.0		100.0		100.0		116.88		123.24
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	IEo	iEo	2.3333333333333335	12.333333333333334	0	0							-2	253.64	2.3333333333333335	110.87333333333333	2.3333333333333335	139.67333333333335	2.3333333333333335	169.51333333333335	2.3333333333333335	230.75333333333333																																																					-2	101.34	-2	102.18	-2	105.1	-2	107.28	-2	112.48	-2	117.2																																																																
2	oaa	OAA	2.0	14.333333333333334	0	0	-2	124.12	-2	174.38	-2	199.07999999999998	-2	251.64					2.0	171.51333333333335	2.0	232.75333333333333																																																																																																																																
3	Iu	iy	1.0	15.333333333333334	0	0			-2	172.38	-2	197.07999999999998	-2	249.64	1.0	111.87333333333333	1.0	140.67333333333335	1.0	172.51333333333335	1.0	233.75333333333333																																																																																																																																
4	EEI	eei	0.6666666666666666	16.0	0	0					-2	195.07999999999998	-2	247.64	0.6666666666666666	112.54	0.6666666666666666	141.34	0.6666666666666666	173.18	0.6666666666666666	234.42																																																																																																																																
5	Iaa	iaa	1.0	17.0	0	0							-2	245.64	1.0	113.54	1.0	142.34	1.0	174.18	1.0	235.42																																																													-2	110.48	-2	115.2																																																																
7	oEE	Oee	1.6	18.6	0	0	-2	122.12	-2	170.38	-2	193.07999999999998	-2	243.64			1.6	143.94	1.6	175.78	1.6	237.01999999999998																																																																																																																																
8	uIo	uio			2.3333333333333335	2.3333333333333335							-2	241.64	2.3333333333333335	115.87333333333333	2.3333333333333335	146.27333333333334	2.3333333333333335	178.11333333333334	2.3333333333333335	239.35333333333332																																																									-2	103.1	-2	105.28	-2	108.48	-2	113.2																																																													-2	114.88	-2	121.24
9	iOe	ioE			2.6666666666666665	5.0	2.6666666666666665	124.78666666666668	2.6666666666666665	173.04666666666665	2.6666666666666665	195.74666666666664	2.6666666666666665	244.30666666666664			-2	144.27333333333334	-2	176.11333333333334	-2	237.35333333333332																																																							-2	100.18	-2	101.1	-2	103.28	-2	106.48	-2	111.2																																																																
