trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.73		166.27		189.91		213.85		150.0		156.11		180.05		227.82999999999998		150.0		150.0		150.0		150.0		151.03		151.82		153.28		156.03		150.0		150.0		150.0		150.0		153.23		155.76		159.82		168.07		150.0		150.0		150.0		150.0		156.03		158.75		167.69		176.63		150.0		150.0		150.0		150.0		158.88		161.4		176.22		184.45		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.14		151.96		152.43		153.73		150.0		150.0		150.0		150.0		153.97		155.56		158.43		160.71		150.0		150.0		150.0		150.0		159.45		162.4		169.35		173.78
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	Ayi	Aui			1.3846153846153846	1.3846153846153846			1.3846153846153846	167.6546153846154	1.3846153846153846	191.29461538461538	1.3846153846153846	215.23461538461538							-2	225.82999999999998																													-2	157.82	-2	166.07													-2	165.69	-2	174.63													-2	174.22	-2	182.45																																																													-2	167.35	-2	171.78
1	Apriori	Id(Bk)Syl1>>Id(Bk)	1.384615384615385	11.384615384615385																																																																																																																																																			
2	Oyy	Ouu			1.3846153846153846	2.769230769230769			1.3846153846153846	169.03923076923078	1.3846153846153846	192.67923076923077	1.3846153846153846	216.61923076923077							-2	223.82999999999998													-2	151.28	-2	154.03													-2	155.82	-2	164.07													-2	163.69	-2	172.63													-2	172.22	-2	180.45																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	1.384615384615385	12.76923076923077																																																																																																																																																			
3	Oyy	ouu	0.5714285714285714	13.340659340659341	0	2.769230769230769	0.5714285714285714	156.30142857142857	0.5714285714285714	169.61065934065937	0.5714285714285714	193.25065934065935	0.5714285714285714	217.19065934065935					-2	178.05	-2	221.82999999999998																																																																																																																																
4	eOe	Eoe	1.4444444444444444	14.785103785103786	0	2.769230769230769	1.4444444444444444	157.74587301587303	1.4444444444444444	171.05510378510382	1.4444444444444444	194.6951037851038	1.4444444444444444	218.6351037851038			-2	154.11	-2	176.05	-2	219.82999999999998																																																																																											-2	149.96			-2	151.73									-2	151.97	-2	153.56	-2	156.43	-2	158.71									-2	157.45	-2	160.4	-2	165.35	-2	169.78
6	oo	Oo	1.7391304347826086	16.524234219886395	0	2.769230769230769	-2	155.74587301587303	-2	169.05510378510382	-2	192.6951037851038	-2	216.6351037851038					1.7391304347826086	177.7891304347826	1.7391304347826086	221.56913043478258									-2	149.03	-2	149.82	-2	149.28	-2	152.03									-2	151.23	-2	153.76	-2	153.82	-2	162.07									-2	154.03	-2	156.75	-2	161.69	-2	170.63									-2	156.88	-2	159.4	-2	170.22	-2	178.45																																																																
7	yy	yu			1.2727272727272727	4.041958041958042			1.2727272727272727	170.3278310578311	1.2727272727272727	193.9678310578311	1.2727272727272727	217.9078310578311							-2	219.56913043478258																													-2	151.82	-2	160.07													-2	159.69	-2	168.63													-2	168.22	-2	176.45																																																																
8	uoI	yoi	1.5833333333333333	18.107567553219727	0	4.041958041958042			-2	168.3278310578311	-2	191.9678310578311	-2	215.9078310578311	1.5833333333333333	151.58333333333334	1.5833333333333333	155.69333333333336	1.5833333333333333	179.37246376811595	1.5833333333333333	221.15246376811592																									-2	149.23	-2	151.76	-2	149.82	-2	158.07									-2	152.03	-2	154.75	-2	157.69	-2	166.63									-2	154.88	-2	157.4	-2	166.22	-2	174.45																																													-2	154.43	-2	156.71													-2	163.35	-2	167.78
10	yey	yeu			1.2	5.241958041958042			1.2	169.5278310578311	1.2	193.16783105783108	1.2	217.10783105783108							-2	219.15246376811592																															-2	156.07													-2	155.69	-2	164.63													-2	164.22	-2	172.45																																																																
11	OA	oa	0.5714285714285714	18.6789961246483	0	5.241958041958042	0.5714285714285714	156.3173015873016	0.5714285714285714	170.09925962925968	0.5714285714285714	193.73925962925966	0.5714285714285714	217.67925962925966					-2	177.37246376811595	-2	217.15246376811592																																																																																																																																
13	iyO	iuo			1.0	6.241958041958042	1.0	157.3173015873016	1.0	171.09925962925968	1.0	194.73925962925966	1.0	218.67925962925966					-2	175.37246376811595	-2	215.15246376811592																																																											-2	155.4	-2	162.22	-2	170.45																																																																
14	oau	Oau	1.6	20.2789961246483	0	6.241958041958042	-2	155.3173015873016	-2	169.09925962925968	-2	192.73925962925966	-2	216.67925962925966					1.6	176.97246376811594	1.6	216.75246376811592													-2	147.28	-2	150.03													-2	147.82	-2	154.07													-2	153.69	-2	162.63													-2	160.22	-2	168.45																																																																
15	aa	Aa	1.6363636363636365	21.91535976101194	0	6.241958041958042			-2	167.09925962925968	-2	190.73925962925966	-2	214.67925962925966							1.6363636363636365	218.38882740447954																													-2	145.82	-2	152.07													-2	151.69	-2	160.63													-2	158.22	-2	166.45																																																																
16	AOO	aoo	0.5714285714285714	22.48678833244051	0	6.241958041958042	0.5714285714285714	155.8887301587302	0.5714285714285714	167.67068820068826	0.5714285714285714	191.31068820068825	0.5714285714285714	215.25068820068824					-2	174.97246376811594	-2	216.38882740447954																																																																																																																																
17	aEa	aea			1.4285714285714286	7.670529470529471					-2	189.31068820068825	-2	213.25068820068824			1.4285714285714286	157.12190476190477	1.4285714285714286	176.40103519668736	1.4285714285714286	217.81739883305096																																													-2	149.69	-2	158.63													-2	156.22	-2	164.45																																																									-2	155.45	-2	158.4	-2	161.35	-2	165.78
18	yO	yo			1.4736842105263157	9.144213681055787	1.4736842105263157	157.36241436925653	1.4736842105263157	169.1443724112146	1.4736842105263157	190.78437241121458	1.4736842105263157	214.72437241121457					-2	174.40103519668736	-2	215.81739883305096																									-2	147.23	-2	149.76	-2	143.82	-2	150.07									-2	150.03	-2	152.75	-2	147.69	-2	156.63									-2	152.88	-2	153.4	-2	154.22	-2	162.45																																																																
19	yiO	uio	1.2307692307692308	23.71755756320974	0	9.144213681055787	1.2307692307692308	158.59318360002575	1.2307692307692308	170.37514164198382	1.2307692307692308	192.0151416419838	1.2307692307692308	215.9551416419838					-2	172.40103519668736	-2	213.81739883305096																																																									-2	150.88	-2	151.4	-2	152.22	-2	160.45																																																													-2	159.35	-2	163.78
20	aIu	Aiu	1.1666666666666667	24.88422422987641	0	9.144213681055787			-2	168.37514164198382	-2	190.0151416419838	-2	213.9551416419838	1.1666666666666667	152.75	1.1666666666666667	158.28857142857143	1.1666666666666667	173.56770186335402	1.1666666666666667	214.98406549971762																															-2	148.07															-2	154.63													-2	150.22	-2	158.45																																																																
