trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		178.76		236.28		290.02		343.98		150.0		150.0		179.9		240.7		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.86		155.34		161.5		165.54		150.0		150.0		150.0		150.0		157.36		159.56		173.08		179.6		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.92		155.36		157.96		160.12		150.0		150.0		150.0		150.0		161.98		166.44		174.14		180.84
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	aaE	AAe	0.4	10.4	0	0			-2	234.28	-2	288.02	-2	341.98			0.4	150.4	0.4	180.3	0.4	241.1																																																																																																																																
2	uEu	yey	0.4	10.8	0	0			-2	232.28	-2	286.02	-2	339.98			0.4	150.8	0.4	180.70000000000002	0.4	241.5																																																																																																																																
3	uo	yO	0.5	11.3	0	0	-2	176.76	-2	230.28	-2	284.02	-2	337.98					0.5	181.20000000000002	0.5	242.0																																																																																																																																
4	Ea	ea	0.4	11.700000000000001	0	0					-2	282.02	-2	335.98			0.4	151.20000000000002	0.4	181.60000000000002	0.4	242.4																																													-2	159.5	-2	163.54													-2	171.08	-2	177.6																																																																
5	EoE	eoe	0.4	12.100000000000001	0	0					-2	280.02	-2	333.98			0.4	151.60000000000002	0.4	182.00000000000003	0.4	242.8																																									-2	151.86	-2	153.34	-2	157.5	-2	161.54									-2	155.36	-2	157.56	-2	169.08	-2	175.6																																									-2	151.92	-2	153.36	-2	155.96	-2	158.12									-2	159.98	-2	164.44	-2	172.14	-2	178.84
6	oEI	oei			0.3333333333333333	0.3333333333333333					-2	278.02	-2	331.98	0.3333333333333333	150.33333333333334	0.3333333333333333	151.93333333333337	0.3333333333333333	182.33333333333337	0.3333333333333333	243.13333333333335																																																																																																									-2	149.92	-2	151.36	-2	153.96	-2	156.12									-2	157.98	-2	162.44	-2	170.14	-2	176.84
7	Iaa	iaa	0.3333333333333333	12.433333333333335	0	0.3333333333333333							-2	329.98	0.3333333333333333	150.66666666666669	0.3333333333333333	152.2666666666667	0.3333333333333333	182.6666666666667	0.3333333333333333	243.4666666666667																																																													-2	167.08	-2	173.6																																																																
9	uEo	ueo			0.4	0.7333333333333334					-2	276.02	-2	327.98			0.4	152.6666666666667	0.4	183.06666666666672	0.4	243.8666666666667																																									-2	149.86	-2	151.34	-2	155.5	-2	159.54									-2	153.36	-2	155.56	-2	165.08	-2	171.6																																																									-2	155.98	-2	160.44	-2	168.14	-2	174.84
10	Eu	ey	0.4	12.833333333333336	0	0.7333333333333334			-2	228.28	-2	274.02	-2	325.98			0.4	153.06666666666672	0.4	183.46666666666673	0.4	244.2666666666667																																																																																																																																
11	aaE	AAe	0.4	13.233333333333336	0	0.7333333333333334			-2	226.28	-2	272.02	-2	323.98			0.4	153.46666666666673	0.4	183.86666666666673	0.4	244.6666666666667																																																																																																																																
13	aaE	aae			0.4	1.1333333333333333					-2	270.02	-2	321.98			0.4	153.86666666666673	0.4	184.26666666666674	0.4	245.06666666666672																																																																																																																									-2	153.98	-2	158.44	-2	166.14	-2	172.84
14	ouE	oue			0.4	1.5333333333333332					-2	268.02	-2	319.98			0.4	154.26666666666674	0.4	184.66666666666674	0.4	245.46666666666673																																																																																																											-2	149.36			-2	154.12									-2	151.98	-2	156.44	-2	164.14	-2	170.84
16	Eoo	eOO	0.4	13.633333333333336	0	1.5333333333333332	-2	174.76	-2	224.28	-2	266.02	-2	317.98			0.4	154.66666666666674	0.4	185.06666666666675	0.4	245.86666666666673																																																																																																																																
17	IaE	iAe	0.3333333333333333	13.96666666666667	0	1.5333333333333332			-2	222.28	-2	264.02	-2	315.98	0.3333333333333333	151.00000000000003	0.3333333333333333	155.00000000000009	0.3333333333333333	185.4000000000001	0.3333333333333333	246.20000000000007																																																																																																																																
18	uoE	yOe	0.4	14.36666666666667	0	1.5333333333333332	-2	172.76	-2	220.28	-2	262.02	-2	313.98			0.4	155.4000000000001	0.4	185.8000000000001	0.4	246.60000000000008																																																																																																																																
19	aIu	aiu			0.3333333333333333	1.8666666666666665							-2	311.98	0.3333333333333333	151.33333333333337	0.3333333333333333	155.73333333333343	0.3333333333333333	186.13333333333344	0.3333333333333333	246.93333333333342																																																													-2	163.08	-2	169.6																																																													-2	162.14	-2	168.84
21	oau	OAy	0.5	14.86666666666667	0	1.8666666666666665	-2	170.76	-2	218.28	-2	260.02	-2	309.98					0.5	186.63333333333344	0.5	247.43333333333342																																																																																																																																
22	IEo	ieO	0.3333333333333333	15.200000000000005	0	1.8666666666666665	-2	168.76	-2	216.28	-2	258.02	-2	307.98	0.3333333333333333	151.6666666666667	0.3333333333333333	156.06666666666678	0.3333333333333333	186.96666666666678	0.3333333333333333	247.76666666666677																																																																																																																																
23	uEo	yeO	0.4	15.600000000000005	0	1.8666666666666665	-2	166.76	-2	214.28	-2	256.02	-2	305.98			0.4	156.46666666666678	0.4	187.3666666666668	0.4	248.16666666666677																																																																																																																																
24	IoI	iOi	0.3333333333333333	15.933333333333339	0	1.8666666666666665	-2	164.76	-2	212.28	-2	254.01999999999998	-2	303.98	0.3333333333333333	152.00000000000006	0.3333333333333333	156.80000000000013	0.3333333333333333	187.70000000000013	0.3333333333333333	248.5000000000001																																																																																																																																
25	oIa	oia			0.3333333333333333	2.1999999999999997							-2	301.98	0.3333333333333333	152.3333333333334	0.3333333333333333	157.13333333333347	0.3333333333333333	188.03333333333347	0.3333333333333333	248.83333333333346																																																													-2	161.08	-2	167.6																																													-2	151.96	-2	152.12													-2	160.14	-2	166.84
26	Iao	iAO	0.3333333333333333	16.266666666666673	0	2.1999999999999997	-2	162.76	-2	210.28	-2	252.01999999999998	-2	299.98	0.3333333333333333	152.66666666666674	0.3333333333333333	157.4666666666668	0.3333333333333333	188.36666666666682	0.3333333333333333	249.1666666666668																																																																																																																																
27	uEo	ueo			0.4	2.5999999999999996					-2	250.01999999999998	-2	297.98			0.4	157.86666666666682	0.4	188.76666666666682	0.4	249.5666666666668																																									-2	147.86	-2	149.34	-2	153.5	-2	157.54									-2	151.36	-2	153.56	-2	159.08	-2	165.6																																																									-2	149.98	-2	154.44	-2	158.14	-2	164.84
28	EEI	eei	0.3333333333333333	16.600000000000005	0	2.5999999999999996					-2	248.01999999999998	-2	295.98	0.3333333333333333	153.00000000000009	0.3333333333333333	158.20000000000016	0.3333333333333333	189.10000000000016	0.3333333333333333	249.90000000000015																																																																																																																																
29	aaE	AAe	0.4	17.000000000000004	0	2.5999999999999996			-2	208.28	-2	246.01999999999998	-2	293.98			0.4	158.60000000000016	0.4	189.50000000000017	0.4	250.30000000000015																																																																																																																																
30	uo	yO	0.5	17.500000000000004	0	2.5999999999999996	-2	160.76	-2	206.28	-2	244.01999999999998	-2	291.98					0.5	190.00000000000017	0.5	250.80000000000015																																																																																																																																
31	ooI	ooi			0.3333333333333333	2.933333333333333							-2	289.98	0.3333333333333333	153.33333333333343	0.3333333333333333	158.9333333333335	0.3333333333333333	190.3333333333335	0.3333333333333333	251.1333333333335																																																																																																													-2	149.96	-2	150.12													-2	156.14	-2	162.84
32	Iua	iua	0.3333333333333333	17.833333333333336	0	2.933333333333333							-2	287.98	0.3333333333333333	153.66666666666677	0.3333333333333333	159.26666666666685	0.3333333333333333	190.66666666666686	0.3333333333333333	251.46666666666684																																																													-2	157.08	-2	163.6																																																																
33	Iu	iy	0.3333333333333333	18.166666666666668	0	2.933333333333333			-2	204.28	-2	242.01999999999998	-2	285.98	0.3333333333333333	154.0000000000001	0.3333333333333333	159.6000000000002	0.3333333333333333	191.0000000000002	0.3333333333333333	251.80000000000018																																																																																																																																
34	auE	Aye	0.4	18.566666666666666	0	2.933333333333333			-2	202.28	-2	240.01999999999998	-2	283.98			0.4	160.0000000000002	0.4	191.4000000000002	0.4	252.2000000000002																																																																																																																																
35	aoI	AOi	0.3333333333333333	18.9	0	2.933333333333333	-2	158.76	-2	200.28	-2	238.01999999999998	-2	281.98	0.3333333333333333	154.33333333333346	0.3333333333333333	160.33333333333354	0.3333333333333333	191.73333333333355	0.3333333333333333	252.53333333333353																																																																																																																																
36	auE	aue			0.4	3.333333333333333					-2	236.01999999999998	-2	279.98			0.4	160.73333333333355	0.4	192.13333333333355	0.4	252.93333333333354																																																																																																																									-2	147.98	-2	152.44	-2	154.14	-2	160.84
38	ooE	ooe			0.4	3.733333333333333					-2	234.01999999999998	-2	277.98			0.4	161.13333333333355	0.4	192.53333333333356	0.4	253.33333333333354																																																																																																									-2	147.92	-2	147.36	-2	147.96	-2	148.12									-2	145.98	-2	150.44	-2	152.14	-2	158.84
39	ooE	OOe	0.4	19.299999999999997	0	3.733333333333333	-2	156.76	-2	198.28	-2	232.01999999999998	-2	275.98			0.4	161.53333333333356	0.4	192.93333333333356	0.4	253.73333333333355																																																																																																																																
40	Iaa	iAA	0.3333333333333333	19.63333333333333	0	3.733333333333333			-2	196.28	-2	230.01999999999998	-2	273.98	0.3333333333333333	154.6666666666668	0.3333333333333333	161.8666666666669	0.3333333333333333	193.2666666666669	0.3333333333333333	254.0666666666669																																																																																																																																
41	oIE	oie			0.3333333333333333	4.066666666666666					-2	228.01999999999998	-2	271.98	0.3333333333333333	155.00000000000014	0.3333333333333333	162.20000000000024	0.3333333333333333	193.60000000000025	0.3333333333333333	254.40000000000023																																																																																																											-2	145.36	-2	145.96	-2	146.12											-2	148.44	-2	150.14	-2	156.84
42	aIu	aiu			0.3333333333333333	4.3999999999999995							-2	269.98	0.3333333333333333	155.33333333333348	0.3333333333333333	162.5333333333336	0.3333333333333333	193.9333333333336	0.3333333333333333	254.73333333333358																																																													-2	155.08	-2	161.6																																																													-2	148.14	-2	154.84
43	aI	Ai	0.3333333333333333	19.96666666666666	0	4.3999999999999995			-2	194.28	-2	226.01999999999998	-2	267.98	0.3333333333333333	155.66666666666683	0.3333333333333333	162.86666666666693	0.3333333333333333	194.26666666666694	0.3333333333333333	255.06666666666692																																																																																																																																
44	Eo	eO	0.4	20.36666666666666	0	4.3999999999999995	-2	154.76	-2	192.28	-2	224.01999999999998	-2	265.98			0.4	163.26666666666694	0.4	194.66666666666694	0.4	255.46666666666692																																																																																																																																
45	Iuo	iyO	0.3333333333333333	20.699999999999992	0	4.3999999999999995	-2	152.76	-2	190.28	-2	222.01999999999998	-2	263.98	0.3333333333333333	156.00000000000017	0.3333333333333333	163.60000000000028	0.3333333333333333	195.00000000000028	0.3333333333333333	255.80000000000027																																																																																																																																
47	oIo	oio			0.3333333333333333	4.7333333333333325							-2	261.98	0.3333333333333333	156.3333333333335	0.3333333333333333	163.93333333333362	0.3333333333333333	195.33333333333363	0.3333333333333333	256.1333333333336																																																									-2	149.36	-2	151.56	-2	153.08	-2	159.6																																													-2	143.96	-2	144.12													-2	146.14	-2	152.84
48	ouE	Oye	0.4	21.09999999999999	0	4.7333333333333325	-2	150.76	-2	188.28	-2	220.01999999999998	-2	259.98			0.4	164.33333333333363	0.4	195.73333333333363	0.4	256.5333333333336																																																																																																																																
49	aII	aii			0.3333333333333333	5.0666666666666655							-2	257.98	0.3333333333333333	156.66666666666686	0.3333333333333333	164.66666666666697	0.3333333333333333	196.06666666666698	0.3333333333333333	256.8666666666669																																																																																																																													-2	144.14	-2	150.84
50	aIE	Aie	0.3333333333333333	21.433333333333323	0	5.0666666666666655			-2	186.28	-2	218.01999999999998	-2	255.98000000000002	0.3333333333333333	157.0000000000002	0.3333333333333333	165.0000000000003	0.3333333333333333	196.40000000000032	0.3333333333333333	257.2000000000002																																																																																																																																
52	yeO	ueo	0.3333333333333333	21.766666666666655	0	5.0666666666666655	0.3333333333333333	151.09333333333333	0.3333333333333333	186.61333333333334	0.3333333333333333	218.35333333333332	0.3333333333333333	256.31333333333333					-2	194.40000000000032	-2	255.20000000000022																																									-2	145.86	-2	147.34	-2	151.5	-2	155.54									-2	147.36	-2	149.56	-2	151.08	-2	157.6																																																									-2	143.98	-2	146.44	-2	142.14	-2	148.84
53	iOO	ioo			0.3333333333333333	5.399999999999999	0.3333333333333333	151.42666666666668	0.3333333333333333	186.9466666666667	0.3333333333333333	218.68666666666667	0.3333333333333333	256.64666666666665					-2	192.40000000000032	-2	253.20000000000022																																																									-2	145.36	-2	147.56	-2	149.08	-2	155.6																																																																
54	aEo	aeo			0.4	5.799999999999999					-2	216.68666666666667	-2	254.64666666666665			0.4	165.40000000000032	0.4	192.80000000000032	0.4	253.60000000000022																																									-2	143.86	-2	145.34	-2	149.5	-2	153.54									-2	143.36	-2	145.56	-2	147.08	-2	153.6																																																									-2	141.98	-2	144.44	-2	140.14	-2	146.84
55	oau	OAy	0.5	22.266666666666655	0	5.799999999999999	-2	149.42666666666668	-2	184.9466666666667	-2	214.68666666666667	-2	252.64666666666665					0.5	193.30000000000032	0.5	254.10000000000022																																																																																																																																
56	yei	uei	0.4	22.666666666666654	0	5.799999999999999			0.4	185.3466666666667	0.4	215.08666666666667	0.4	253.04666666666665							-2	252.10000000000022																																																																																																																									-2	139.98	-2	142.44	-2	138.14	-2	144.84
57	ua	yA	0.6666666666666666	23.33333333333332	0	5.799999999999999			-2	183.3466666666667	-2	213.08666666666667	-2	251.04666666666665							0.6666666666666666	252.76666666666688																																																																																																																																
58	AiA	aia	0.4	23.73333333333332	0	5.799999999999999			0.4	183.7466666666667	0.4	213.48666666666668	0.4	251.44666666666666							-2	250.76666666666688																																																													-2	145.08	-2	151.6																																																													-2	136.14	-2	142.84
59	yee	uee	0.4	24.13333333333332	0	5.799999999999999			0.4	184.1466666666667	0.4	213.88666666666668	0.4	251.84666666666666							-2	248.76666666666688																																																																																																																									-2	137.98	-2	140.44	-2	134.14	-2	140.84
60	uaI	uai			0.3333333333333333	6.133333333333332							-2	249.84666666666666	0.3333333333333333	157.33333333333354	0.3333333333333333	165.73333333333366	0.3333333333333333	193.63333333333367	0.3333333333333333	249.10000000000022																																																																																																																													-2	132.14	-2	138.84
62	iAi	iai			0.4	6.533333333333332			0.4	184.5466666666667	0.4	214.2866666666667	0.4	250.24666666666667							-2	247.10000000000022																																																													-2	143.08	-2	149.6																																																													-2	130.14	-2	136.84
63	Euo	eyO	0.4	24.533333333333317	0	6.533333333333332	-2	147.42666666666668	-2	182.5466666666667	-2	212.2866666666667	-2	248.24666666666667			0.4	166.13333333333367	0.4	194.03333333333367	0.4	247.50000000000023																																																																																																																																
64	Ioa	ioa	0.3333333333333333	24.86666666666665	0	6.533333333333332							-2	246.24666666666667	0.3333333333333333	157.66666666666688	0.3333333333333333	166.466666666667	0.3333333333333333	194.36666666666702	0.3333333333333333	247.83333333333357																																																									-2	141.36	-2	143.56	-2	141.08	-2	147.6																																																																
65	yei	uei	0.4	25.266666666666648	0	6.533333333333332			0.4	182.94666666666672	0.4	212.6866666666667	0.4	246.64666666666668							-2	245.83333333333357																																																																																																																									-2	135.98	-2	138.44	-2	128.14	-2	134.84
