trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		183.13608004654733		193.18007770369266		409.7785654348769		218.55605973158418		227.10508089085		237.4872159026176		423.9308106173355		198.64506380022652		237.3396759524765		431.84646646356657		413.9664942973823		438.7873368068065		303.14251774221844		436.426370312936		388.14007519018264		380.7814699346942		238.0371331964875		152.48443829625785		209.496050394777		319.93322045941125		347.4012315545266		427.150663832632		302.48149923464314		248.5704608907506		282.3501923580058		429.62143951142406		227.6343751457539		241.95140193472218		184.29177702888944		275.19908745580256		239.30897889232273		150.42549386886583		174.32854420678635		416.8159356966789		267.53025275048765		387.99317005596026		168.44151322542865		299.1514679737086		430.3656963872955		249.41469681858703		162.78656951068112		157.04988326351236		272.6218571276237		179.00913760386976		400.295756192278		379.1625494106342		205.33204717223364		218.65528918717501		249.05820640358675		189.4332661285381		255.0307459112193		178.1217105464255		346.4785988764187		380.2856194722963		206.12577680526772		298.0134282965074		354.5415321729005		306.7980844654848		269.57264476026546		422.40488148254497		360.5007928144049		208.0369102817138		291.1780104857647		175.97339020140936		277.8529990562053		424.3381896041179		292.22306421525496		228.65570770284245		262.06330660096285		210.37534001328203		351.70446815007114		282.5382589673449
2	OA	Oa			1.3846153846153846	1.3846153846153846			1.3846153846153846	194.56469308830805	1.3846153846153846	411.16318081949225	1.3846153846153846	219.94067511619957							-2	196.64506380022652													-2	386.14007519018264	-2	378.7814699346942													-2	300.48149923464314	-2	246.5704608907506													-2	237.30897889232273	-2	148.42549386886583													-2	428.3656963872955	-2	247.41469681858703																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	1.3846153846153846	1.3846153846153846																																																																																																																																																			
4	OAA	Oaa			1.3846153846153846	2.769230769230769			1.3846153846153846	195.94930847292343	1.3846153846153846	412.5477962041076	1.3846153846153846	221.32529050081496							-2	194.64506380022652													-2	384.14007519018264	-2	376.7814699346942													-2	298.48149923464314	-2	244.5704608907506													-2	235.30897889232273	-2	146.42549386886583													-2	426.3656963872955	-2	245.41469681858703																																																																
4	Apriori	Id(Bk)Syl1>>Id(Bk)	1.3846153846153846	2.769230769230769																																																																																																																																																			
6	eAy	Eau	0.8571428571428571	3.6263736263736264	0	2.769230769230769			0.8571428571428571	196.8064513300663	0.8571428571428571	413.40493906125045	0.8571428571428571	222.18243335795782			-2	235.4872159026176	-2	421.9308106173355	-2	192.64506380022652																																																																																																																																
7	AeO	Aeo			1.411764705882353	4.180995475113122	1.411764705882353	184.54784475242968	1.411764705882353	198.21821603594864	1.411764705882353	414.8167037671328	1.411764705882353	223.59419806384017					-2	419.9308106173355	-2	190.64506380022652																											-2	425.150663832632			-2	242.5704608907506									-2	182.29177702888944	-2	273.19908745580256	-2	233.30897889232273	-2	144.42549386886583									-2	166.44151322542865	-2	297.1514679737086	-2	424.3656963872955	-2	243.41469681858703																																																																
7	Apriori	Id(Bk)Syl1>>Id(Bk)	0.554621848739496	4.180995475113122																																																																																																																																																			
8	AO	Ao			1.4736842105263157	5.654679685639438	1.4736842105263157	186.021528962956	1.4736842105263157	199.69190024647497	1.4736842105263157	416.2903879776591	1.4736842105263157	225.0678822743665					-2	417.9308106173355	-2	188.64506380022652																									-2	345.4012315545266	-2	423.150663832632	-2	296.48149923464314	-2	240.5704608907506									-2	180.29177702888944	-2	271.19908745580256	-2	231.30897889232273	-2	142.42549386886583									-2	164.44151322542865	-2	295.1514679737086	-2	422.3656963872955	-2	241.41469681858703																																																																
8	Apriori	Id(Bk)Syl1>>Id(Bk)	1.473684210526316	5.654679685639438																																																																																																																																																			
