trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		358.38420020051285		425.200738958643		338.02626657921195		335.2832718005942		423.62222962844015		363.02377841185904		338.6693013383733		359.1171978891095		428.07750385576037		325.1315625695777		317.5245645595972		387.9240809576069		352.1506306622045		334.4784339122312		363.0240051762984		367.1276798095325		405.3903152662776		364.6068086496959		360.04572842381214		423.4344170002505		389.0211945233051		353.6018931996152		421.11144496014475		393.0960314961777		342.2339493763167		434.41703968938805		324.8292646696968		334.6989651926941		386.9363972870874		310.49870554292374		354.22124304987716		349.50946768879044		315.8982671867466		354.8526488714593		334.2767944667811		310.65367630427716		300.3774851194677		424.18956893594446		331.6445731745874		374.07026120563455		313.77779928567196		394.7748006607694		394.2123458479564		407.3089331998915		448.25341209780424		329.5626126907399		397.70871684787		412.85902173865185		310.08515402892715		336.58626274149117		390.91427944459116		443.8932294034089		323.99473405380303		389.1374867130519		393.69347140999713		352.9276254981039		408.4748783453837		422.71541862661365		346.9472391493976		333.3984139775688		420.0358042333068		374.04304115306144		426.7928395374745		418.98537182600677		433.83154158755934		408.60726730108934		334.32775305006163		312.35844226401935		434.98091277466096		400.216616152024		333.9133876238516		443.54199232889545
1	oaI	OAi	0.3333333333333333	0.3333333333333333	0	0	-2	356.38420020051285	-2	423.200738958643	-2	336.02626657921195	-2	333.2832718005942	0.3333333333333333	423.95556296177347	0.3333333333333333	363.35711174519236	0.3333333333333333	339.00263467170663	0.3333333333333333	359.4505312224428																																																																																																																																
2	eOi	Eoi	0.3333333333333333	0.6666666666666666	0	0	0.3333333333333333	356.71753353384617	0.3333333333333333	423.5340722919763	0.3333333333333333	336.35959991254526	0.3333333333333333	333.6166051339275			-2	361.35711174519236	-2	337.00263467170663	-2	357.4505312224428																																																																																															-2	350.9276254981039													-2	424.7928395374745	-2	416.98537182600677													-2	331.9133876238516	-2	441.54199232889545
3	iuo	Iuo	0.3333333333333333	1.0	0	0							0.3333333333333333	333.94993846726084	-2	421.95556296177347	-2	359.35711174519236	-2	335.00263467170663	-2	355.4505312224428																																																											0.3333333333333333	424.5229022692778	0.3333333333333333	331.9779065079207	0.3333333333333333	374.40359453896787																																																																
4	ieu	iEu			0.3333333333333333	0.3333333333333333					0.3333333333333333	336.6929332458786	0.3333333333333333	334.28327180059415			-2	357.35711174519236	-2	333.00263467170663	-2	353.4505312224428																																													0.3333333333333333	354.5545763832105	0.3333333333333333	349.84280102212375					-2	332.2767944667811	-2	308.65367630427716	-2	298.3774851194677	-2	422.5229022692778			-2	372.40359453896787																																																																
5	ie	iE			0.5	0.8333333333333333					0.5	337.1929332458786	0.5	334.78327180059415			-2	355.35711174519236	-2	331.00263467170663	-2	351.4505312224428																																																					-2	330.2767944667811	-2	306.65367630427716	-2	296.3774851194677	-2	420.5229022692778	-2	329.9779065079207	-2	370.40359453896787																																																																
6	Eao	eAO	0.4	1.4	0	0.8333333333333333	-2	354.71753353384617	-2	421.5340722919763	-2	335.1929332458786	-2	332.78327180059415			0.4	355.75711174519233	0.4	331.4026346717066	0.4	351.8505312224428																																																																																																																																
7	Eau	eAy	0.4	1.7999999999999998	0	0.8333333333333333			-2	419.5340722919763	-2	333.1929332458786	-2	330.78327180059415			0.4	356.1571117451923	0.4	331.8026346717066	0.4	352.25053122244276																																																																																																																																
8	ouu	Oyy	0.5	2.3	0	0.8333333333333333	-2	352.71753353384617	-2	417.5340722919763	-2	331.1929332458786	-2	328.78327180059415					0.5	332.3026346717066	0.5	352.75053122244276																																																																																																																																
10	iei	IEi	0.5	2.8	0	0.8333333333333333					0.5	331.6929332458786	0.5	329.28327180059415	-2	419.95556296177347	-2	354.1571117451923	-2	330.3026346717066	-2	350.75053122244276																																																																															-2	410.85902173865185													-2	391.69347140999713	-2	348.9276254981039													-2	422.7928395374745	-2	414.98537182600677													-2	329.9133876238516	-2	439.54199232889545
