trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		520.5640528610411		550.4535026720728		362.30912324181975		405.07659863923556		371.2077568439365		530.3920725030939		452.3110616653767		530.2562983717694		379.0362388491462		340.0080729599129		469.8473583393861		304.27191045509994		337.91529459867985		567.915139426522		458.43409928520737		355.0589843464539		387.5034805282562		486.7350919463878		520.3471122182901		515.8113325594327		300.8052672945915		594.9170255440722		472.0876595781291		302.5699245784954		438.2199568022545		515.7477522376707		417.5563334957125		589.9999957035536		333.35525110512754		359.4381380206626		446.10167261893076		572.6389999794379		531.1903458323118		583.0640793579389		475.05344772274475		476.27435524228406		514.1627060812134		457.6083484410607		436.68753637736637		561.069695728344		464.8871815784644		357.2805146385715		382.9290463694793		490.92365067561775		541.5288834291543		584.5349342309921		416.39613698956646		379.90523323602713		584.5394454237619		439.738468874266		491.03742691331115		321.6605291763554		377.7042552206717		366.814451544548		570.7361972624625		478.3476489981523		368.2408775438331		328.0646859243173		324.71059941795454		309.8949371208077		374.974283314202		444.02867142549627		477.5337493174854		529.3003345627251		314.7377362631824		595.8562954041383		315.23069230125583		324.00167682094235		486.17948910442476		351.85131492243096		581.7955765034544		352.2176067411337
1	ooI	Ooi	1.6	1.6	1.6	1.6	-2	518.5640528610411	-2	548.4535026720728	-2	360.30912324181975	-2	403.07659863923556	1.6	372.80775684393655	1.6	531.9920725030939	1.6	453.91106166537674	1.6	531.8562983717694									-2	335.91529459867985	-2	565.915139426522	-2	456.43409928520737	-2	353.0589843464539									-2	298.8052672945915	-2	592.9170255440722	-2	470.0876595781291	-2	300.5699245784954									-2	331.35525110512754	-2	357.4381380206626	-2	444.10167261893076	-2	570.6389999794379									-2	512.1627060812134	-2	455.6083484410607	-2	434.68753637736637	-2	559.069695728344																																													-2	475.5337493174854	-2	527.3003345627251													-2	579.7955765034544	-2	350.2176067411337
2	oou	Oou	1.6666666666666667	3.2666666666666666	1.6666666666666667	3.2666666666666666	-2	516.5640528610411	-2	546.4535026720728	-2	358.30912324181975	-2	401.07659863923556					1.6666666666666667	455.5777283320434	1.6666666666666667	533.522965038436									-2	333.91529459867985	-2	563.915139426522	-2	454.43409928520737	-2	351.0589843464539									-2	296.8052672945915	-2	590.9170255440722	-2	468.0876595781291	-2	298.5699245784954									-2	329.35525110512754	-2	355.4381380206626	-2	442.10167261893076	-2	568.6389999794379									-2	510.1627060812134	-2	453.6083484410607	-2	432.68753637736637	-2	557.069695728344																																																																
3	oEo	oeo			1.6363636363636365	4.903030303030303					-2	356.30912324181975	-2	399.07659863923556			1.6363636363636365	533.6284361394576	1.6363636363636365	457.21409196840705	1.6363636363636365	535.1593286747997																																									-2	327.35525110512754	-2	353.4381380206626	-2	440.10167261893076	-2	566.6389999794379									-2	508.1627060812134	-2	451.6083484410607	-2	430.68753637736637	-2	555.069695728344																																									-2	372.974283314202	-2	442.02867142549627	-2	473.5337493174854	-2	525.3003345627251									-2	484.17948910442476	-2	349.85131492243096	-2	577.7955765034544	-2	348.2176067411337
4	uuI	yui	1.2941176470588236	4.56078431372549	1.2941176470588236	6.197147950089127			-2	544.4535026720728	-2	354.30912324181975	-2	397.07659863923556	1.2941176470588236	374.1018744909954	1.2941176470588236	534.9225537865163	1.2941176470588236	458.5082096154659	1.2941176470588236	536.4534463218585																													-2	466.0876595781291	-2	296.5699245784954													-2	438.10167261893076	-2	564.6389999794379													-2	428.68753637736637	-2	553.069695728344																																																													-2	575.7955765034544	-2	346.2176067411337
6	oIu	Oiu	1.2	5.76078431372549	1.2	7.397147950089127	-2	514.5640528610411	-2	542.4535026720728	-2	352.30912324181975	-2	395.07659863923556	1.2	375.3018744909954	1.2	536.1225537865164	1.2	459.7082096154659	1.2	537.6534463218585															-2	349.0589843464539															-2	294.5699245784954															-2	562.6389999794379													-2	426.68753637736637	-2	551.069695728344																																																																
7	yOe	yoe			1.6296296296296295	9.026777579718756	1.6296296296296295	516.1936824906708	1.6296296296296295	544.0831323017024	1.6296296296296295	353.93875287144937	1.6296296296296295	396.7062282688652					-2	457.7082096154659	-2	535.6534463218585																									-2	294.8052672945915	-2	588.9170255440722	-2	464.0876595781291	-2	292.5699245784954									-2	325.35525110512754	-2	351.4381380206626	-2	436.10167261893076	-2	560.6389999794379									-2	506.1627060812134	-2	449.6083484410607	-2	424.68753637736637	-2	549.069695728344																																									-2	370.974283314202	-2	440.02867142549627	-2	471.5337493174854	-2	523.3003345627251									-2	482.17948910442476	-2	347.85131492243096	-2	573.7955765034544	-2	344.2176067411337
9	oI	Oi	0.8	6.56078431372549	0.8	9.826777579718756	-2	514.1936824906708	-2	542.0831323017024	-2	351.93875287144937	-2	394.7062282688652	0.8	376.1018744909954	0.8	536.9225537865163	0.8	458.5082096154659	0.8	536.4534463218585																																																																																																																																
10	Eao	eao	1.2307692307692308	7.791553544494721	1.2307692307692308	11.057546810487988					-2	349.93875287144937	-2	392.7062282688652			1.2307692307692308	538.1533230172856	1.2307692307692308	459.7389788462351	1.2307692307692308	537.6842155526277																																											-2	349.4381380206626	-2	434.10167261893076	-2	558.6389999794379											-2	447.6083484410607	-2	422.68753637736637	-2	547.069695728344																																																																
11	EoE	eoe	1.565217391304348	9.35677093579907	1.565217391304348	12.622764201792336					-2	347.93875287144937	-2	390.7062282688652			1.565217391304348	539.71854040859	1.565217391304348	461.3041962375395	1.565217391304348	539.2494329439321																																									-2	323.35525110512754	-2	347.4381380206626	-2	432.10167261893076	-2	556.6389999794379									-2	504.1627060812134	-2	445.6083484410607	-2	420.68753637736637	-2	545.069695728344																																									-2	368.974283314202	-2	438.02867142549627	-2	469.5337493174854	-2	521.3003345627251									-2	480.17948910442476	-2	345.85131492243096	-2	571.7955765034544	-2	342.2176067411337
