trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		381.6036398636424		592.8042495576982		490.9257553577087		515.281038786051		370.209560393923		380.84642045066914		492.52238690091576		416.80579656494956		494.48399958750963		374.4125004008205		451.68655887805505		492.913188039377		585.5823590376981		521.1355162270443		542.0668605686529		412.34194571206433		391.13613906921626		328.04220411920505		516.8122101652498		378.07637698072995		512.5721933344189		561.1360717753575		369.4468950059772		577.2732941306681		421.7554082749609		542.1231959364509		457.5998103618617		508.90401057556176		596.4031310101086		587.4418951424457		573.4538902355168		475.7351609005997		507.0539067255632		392.9015628215583		330.51939392844685		486.05240905439376		578.0110516073516		356.99843681348375		495.0132269238103		507.1324582709538		551.737764325658		534.7803429502018		301.4344128386016		563.5569213666017		445.3867238555737		373.2802902482049		457.39598418900977		532.4744037636272		482.7195897336949		449.5169751716028		539.509473011735		352.16772641645764		350.7157984905414		462.5115746933265		354.8577247865678		360.2455890229103		382.25620266039465		540.399251590854		593.1356155519909		301.70814536407977		529.613708859426		372.7314860365662		507.6671480654504		300.7515844416184		379.58516913453957		346.1073879381834		394.33095353381714		590.332341994692		558.4711755890985		335.41266438917563		465.4571130408603		520.5590628822738
1	aI	ai			0.75	0.75							-2	513.281038786051	0.75	370.959560393923	0.75	381.59642045066914	0.75	493.27238690091576	0.75	417.55579656494956																																																																																																																													-2	463.4571130408603	-2	518.5590628822738
2	Euu	euu	1.2	1.2	0	0.75					-2	488.9257553577087	-2	511.281038786051			1.2	382.79642045066913	1.2	494.47238690091575	1.2	418.75579656494955																																													-2	571.4538902355168	-2	473.7351609005997													-2	493.0132269238103	-2	505.1324582709538																																																																
3	oo	Oo	1.7391304347826086	2.9391304347826086	0	0.75	-2	379.6036398636424	-2	590.8042495576982	-2	486.9257553577087	-2	509.281038786051					1.7391304347826086	496.2115173356984	1.7391304347826086	420.4949269997322									-2	583.5823590376981	-2	519.1355162270443	-2	540.0668605686529	-2	410.34194571206433									-2	510.5721933344189	-2	559.1360717753575	-2	367.4468950059772	-2	575.2732941306681									-2	594.4031310101086	-2	585.4418951424457	-2	569.4538902355168	-2	471.7351609005997									-2	576.0110516073516	-2	354.99843681348375	-2	491.0132269238103	-2	503.1324582709538																																																																
4	oaa	Oaa	1.6	4.539130434782608	0	0.75	-2	377.6036398636424	-2	588.8042495576982	-2	484.9257553577087	-2	507.281038786051					1.6	497.8115173356984	1.6	422.0949269997322													-2	538.0668605686529	-2	408.34194571206433													-2	365.4468950059772	-2	573.2732941306681													-2	567.4538902355168	-2	469.7351609005997													-2	489.0132269238103	-2	501.1324582709538																																																																
5	ouu	Ouu	1.6	6.139130434782608	0	0.75	-2	375.6036398636424	-2	586.8042495576982	-2	482.9257553577087	-2	505.281038786051					1.6	499.4115173356984	1.6	423.6949269997322													-2	536.0668605686529	-2	406.34194571206433													-2	363.4468950059772	-2	571.2732941306681													-2	565.4538902355168	-2	467.7351609005997													-2	487.0132269238103	-2	499.1324582709538																																																																
7	uuI	uui			0.75	1.5							-2	503.281038786051	0.75	371.709560393923	0.75	383.54642045066913	0.75	500.1615173356984	0.75	424.4449269997322																																																																																																																													-2	461.4571130408603	-2	516.5590628822738
8	uIE	uie			1.0	2.5					-2	480.9257553577087	-2	501.281038786051	1.0	372.709560393923	1.0	384.54642045066913	1.0	501.1615173356984	1.0	425.4449269997322																																																																																																																											-2	333.41266438917563	-2	459.4571130408603	-2	514.5590628822738
9	auE	aue			1.2	3.7					-2	478.9257553577087	-2	499.281038786051			1.2	385.7464204506691	1.2	502.3615173356984	1.2	426.6449269997322																																																																																																																									-2	556.4711755890985	-2	331.41266438917563	-2	457.4571130408603	-2	512.5590628822738
10	EaE	Eae			1.4285714285714286	5.128571428571429					-2	476.9257553577087	-2	497.281038786051			1.4285714285714286	387.17499187924057	1.4285714285714286	503.79008876426985	1.4285714285714286	428.07349842830365																																																																																											-2	460.5115746933265			-2	358.2455890229103											-2	370.7314860365662			-2	298.7515844416184									-2	554.4711755890985	-2	329.41266438917563	-2	455.4571130408603	-2	510.5590628822738
