trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		345.11921087812254		384.1790100020718		390.70334748434703		394.2806609109931		326.3267332880466		446.4397715749068		437.2980368753631		525.4237816831958		396.40490943662627		514.6044180107806		454.5772352302418		349.9511496479912		346.12085590195915		315.25599284921583		391.52053387688727		367.78973160554744		513.2206130614118		425.750365605625		458.19953714566384		398.4872939407048		365.4612317284285		438.164064574127		487.31433825561083		455.96305625285277		476.08096175076446		527.7446430134778		585.9010924892251		561.6396828971443		481.3590043806959		490.9521744893626		352.4703779036623		377.0577629393164		345.90809772778255		321.2667873088478		592.409956223529		552.0090090570948		347.7577831971904		505.3871451592486		359.4119117190153		329.9377399164733		465.09204534722846		452.9252405687718		376.5735625480352		595.7242227367285		430.7751958922014		447.6151316533526		562.7345063482403		328.0789846698939		535.0343585484451		566.752885155573		466.1984847164872		588.1672558795881		442.7779398301675		468.88421548001025		488.50540802317107		535.3851686142245		369.6251434769265		403.03811024545575		442.7601306881536		459.6490031944094		596.4159832819885		568.7604926330375		331.43491258031963		557.7014244340437		379.85927961750906		304.5283588737787		583.6246819407361		581.8615709862589		573.1494099524466		564.8403008960356		485.7096970061284		562.1950973052551
1	OAe	oae	0.3333333333333333	0.3333333333333333	0	0	0.3333333333333333	345.45254421145586	0.3333333333333333	384.5123433354051	0.3333333333333333	391.03668081768035	0.3333333333333333	394.6139942443264					-2	435.2980368753631	-2	523.4237816831958																																																																																																											-2	566.7604926330375			-2	555.7014244340437									-2	571.1494099524466	-2	562.8403008960356	-2	483.7096970061284	-2	560.1950973052551
2	eyO	euo			0.3333333333333333	0.3333333333333333	0.3333333333333333	345.7858775447892	0.3333333333333333	384.8456766687384	0.3333333333333333	391.37001415101366	0.3333333333333333	394.94732757765973					-2	433.2980368753631	-2	521.4237816831958																																											-2	488.9521744893626	-2	350.4703779036623	-2	375.0577629393164											-2	503.3871451592486	-2	357.4119117190153	-2	327.9377399164733																																																																
5	iOe	ioe			0.3333333333333333	0.6666666666666666	0.3333333333333333	346.1192108781225	0.3333333333333333	385.1790100020717	0.3333333333333333	391.703347484347	0.3333333333333333	395.28066091099305					-2	431.2980368753631	-2	519.4237816831958																																																									-2	345.7577831971904	-2	501.3871451592486	-2	355.4119117190153	-2	325.9377399164733																																									-2	594.4159832819885	-2	564.7604926330375	-2	329.43491258031963	-2	553.7014244340437									-2	569.1494099524466	-2	560.8403008960356	-2	481.7096970061284	-2	558.1950973052551
5	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3333333333333333	0.6666666666666666																																																																																																																																																			
7	eAA	eaa			0.4	1.0666666666666667			0.4	385.5790100020717	0.4	392.10334748434695	0.4	395.680660910993							-2	517.4237816831958																																													-2	348.4703779036623	-2	373.0577629393164													-2	353.4119117190153	-2	323.9377399164733																																																																
7	Apriori	Id(Bk)Syl1>>Id(Bk)	0.4	1.0666666666666667																																																																																																																																																			
10	OOy	oou	0.3333333333333333	1.4	0	1.0666666666666667	0.3333333333333333	346.4525442114558	0.3333333333333333	385.912343335405	0.3333333333333333	392.43668081768027	0.3333333333333333	396.01399424432634					-2	429.2980368753631	-2	515.4237816831958																																																																																																																																
12	Aii	aii	0.4	1.7999999999999998	0	1.0666666666666667			0.4	386.312343335405	0.4	392.83668081768025	0.4	396.4139942443263							-2	513.4237816831958																																																																																																																													-2	479.7096970061284	-2	556.1950973052551
14	AO	ao	0.3333333333333333	2.1333333333333333	0	1.0666666666666667	0.3333333333333333	346.7858775447891	0.3333333333333333	386.6456766687383	0.3333333333333333	393.17001415101356	0.3333333333333333	396.74732757765963					-2	427.2980368753631	-2	511.4237816831958																																																																																																																																
