trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		582.2470098498455		541.6391914171592		527.1977531891355		460.3456999208504		598.8272576624171		532.2706904615753		594.9362906411345		509.77087663579647		483.8749903689032		490.7852962471362		523.3888763622997		501.39845262052836		485.8774628925223		529.0801866817217		502.7865709055609		564.4298402671328		569.6631495496455		503.10670367862275		474.63726405563267		528.2539660586854		480.3320111141966		573.0002064479313		598.3160925378374		552.8791314520237		572.5506075633007		481.942261243223		587.9976761384196		464.45973470421615		559.9240525976579		512.3040970297022		555.9029304722878		478.0823679824876		539.3483201419378		560.5360157954862		496.5618744307606		568.2559227447003		559.834592968915		597.4659219756015		464.0660322417936		475.74326059091135		574.5706258954796		492.6880782441159		529.210459870384		596.3731391876206		593.0199845679804		547.6782689159945		509.63640269193695		551.1655646891652		530.4745601079514		483.35445932393594		562.4453697720844		500.89976121895717		589.4006974011054		599.6137697874743		500.7413412588421		497.7188144310598		591.8693209243675		500.00973881890303		526.4451635826346		527.617407917432		493.5685633913105		481.3607860221568		505.69413944170157		591.8451509273152		568.8717716979378		489.39969939581295		537.8473853425148		511.8516505427851		530.5275744645353		476.012658523709		578.6181746890384		530.4729450742998
1	eia	eiA			0.3333333333333333	0.3333333333333333			-2	539.6391914171592	-2	525.1977531891355	-2	458.3456999208504							0.3333333333333333	510.1042099691298																																															0.3333333333333333	478.4157013158209													0.3333333333333333	464.3993655751269	0.3333333333333333	476.07659392424466																																																																
3	ua	yA	0.5	0.5	0.5	0.8333333333333333			-2	537.6391914171592	-2	523.1977531891355	-2	456.3456999208504							0.5	510.6042099691298																																																																																																																																
4	Oei	oei	0.2857142857142857	0.7857142857142857	0.2857142857142857	1.119047619047619	0.2857142857142857	582.5327241355599	0.2857142857142857	537.9249057028735	0.2857142857142857	523.4834674748498	0.2857142857142857	456.63141420656467					-2	592.9362906411345	-2	508.6042099691298																																																																																																									-2	491.5685633913105	-2	479.3607860221568	-2	503.69413944170157	-2	589.8451509273152									-2	528.5275744645353	-2	474.012658523709	-2	576.6181746890384	-2	528.4729450742998
5	eO	eo			0.3333333333333333	1.4523809523809523	0.3333333333333333	582.8660574688932	0.3333333333333333	538.2582390362069	0.3333333333333333	523.8168008081832	0.3333333333333333	456.964747539898					-2	590.9362906411345	-2	506.6042099691298																																									-2	557.9240525976579	-2	510.30409702970223	-2	553.9029304722878	-2	476.4157013158209									-2	557.834592968915	-2	595.4659219756015	-2	462.3993655751269	-2	474.07659392424466																																																																
12	Oe	oe	0.2857142857142857	1.0714285714285714	0.2857142857142857	1.7380952380952381	0.2857142857142857	583.1517717546076	0.2857142857142857	538.5439533219212	0.2857142857142857	524.1025150938975	0.2857142857142857	457.25046182561226					-2	588.9362906411345	-2	504.6042099691298																																																																																																									-2	489.5685633913105	-2	477.3607860221568	-2	501.69413944170157	-2	587.8451509273152									-2	526.5275744645353	-2	472.012658523709	-2	574.6181746890384	-2	526.4729450742998
14	iaa	iAA			0.4	2.138095238095238			-2	536.5439533219212	-2	522.1025150938975	-2	455.25046182561226							0.4	505.00420996912976																																																													0.4	462.7993655751269	0.4	474.47659392424464																																																																
17	eO	eo			0.3333333333333333	2.4714285714285715	0.3333333333333333	583.485105087941	0.3333333333333333	536.8772866552546	0.3333333333333333	522.4358484272309	0.3333333333333333	455.5837951589456					-2	586.9362906411345	-2	503.00420996912976																																									-2	555.9240525976579	-2	508.30409702970223	-2	551.9029304722878	-2	474.4157013158209									-2	555.834592968915	-2	593.4659219756015	-2	460.7993655751269	-2	472.47659392424464																																																																
21	Oei	oei	0.2857142857142857	1.3571428571428572	0.2857142857142857	2.757142857142857	0.2857142857142857	583.7708193736553	0.2857142857142857	537.1630009409689	0.2857142857142857	522.7215627129452	0.2857142857142857	455.86950944465985					-2	584.9362906411345	-2	501.00420996912976																																																																																																									-2	487.5685633913105	-2	475.3607860221568	-2	499.69413944170157	-2	585.8451509273152									-2	524.5275744645353	-2	470.012658523709	-2	572.6181746890384	-2	524.4729450742998
25	uuu	yyy	0.5	1.8571428571428572	0.5	3.257142857142857			-2	535.1630009409689	-2	520.7215627129452	-2	453.86950944465985							0.5	501.50420996912976																																																																																																																																
