trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		523.0264240073145		581.7334858756027		717.0040013004784		622.3675920103777		613.4267575089478		576.3190157802879		707.802923311089		599.3531583491853		575.0518053751806		723.5651700028802		516.348126975145		622.5863935137842		526.4745454446659		699.6543470174594		475.41318181060444		710.8486164605879		595.2196002421447		601.3863459611732		461.99618047732673		475.0237826854565		580.5058018907785		603.358987503849		483.4372449450121		646.8360328368656		620.6952743261331		517.7818461380556		450.16744997665717		557.615386387573		652.1022869731405		504.68369880404094		537.0105733099722		705.8277446096453		538.7391319241012		605.873450261344		485.5943845955572		708.8944531967607		718.8772821302853		731.3891744054624		581.6905349433903		476.95747465324797		662.0637448548532		705.0557476861853		467.4569382904473		714.2523544244972		520.8626283450009		606.5262416652022		695.0327080321742		528.5469615649411		475.41912253638077		548.9531062632474		731.9364365254082		596.4791632324859		587.7934621082254		552.4301459463687		678.7055247362878		734.9246127165804		729.9400282129427		585.0539019384055		693.1162782833956		666.3767137824065		498.73089035502346		461.51917991505104		541.3929909340093		691.3822940505104		657.0445767479125		729.7837150900758		482.41543743074743		600.9541445710443		468.4646089790341		650.7142499370595		749.769765823554		543.3289144034736
2	aEu	Aey	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333			-2	579.7334858756027	-2	715.0040013004784	-2	620.3675920103777			0.3333333333333333	576.6523491136213	0.3333333333333333	708.1362566444224	0.3333333333333333	599.6864916825186																																																																																																																																
5	EIa	eiA	0.2857142857142857	0.6190476190476191	0.2857142857142857	0.6190476190476191			-2	577.7334858756027	-2	713.0040013004784	-2	618.3675920103777	0.2857142857142857	613.7124717946622	0.2857142857142857	576.9380633993356	0.2857142857142857	708.4219709301367	0.2857142857142857	599.972205968233																																																																																																																																
6	IE	iE	0.2857142857142857	0.9047619047619048	0.2857142857142857	0.9047619047619048							-2	616.3675920103777	0.2857142857142857	613.9981860803765	0.2857142857142857	577.22377768505	0.2857142857142857	708.707685215851	0.2857142857142857	600.2579202539473																																																					-2	483.5943845955572	-2	706.8944531967607	-2	716.8772821302853	-2	729.3891744054624	-2	579.6905349433903	-2	474.95747465324797																																																																
7	EEa	eeA	0.3333333333333333	1.2380952380952381	0.3333333333333333	1.2380952380952381			-2	575.7334858756027	-2	711.0040013004784	-2	614.3675920103777			0.3333333333333333	577.5571110183834	0.3333333333333333	709.0410185491844	0.3333333333333333	600.5912535872807																																																																																																																																
12	IEE	iee	0.2857142857142857	1.5238095238095237	0.2857142857142857	1.5238095238095237					-2	709.0040013004784	-2	612.3675920103777	0.2857142857142857	614.2839003660908	0.2857142857142857	577.8428253040977	0.2857142857142857	709.3267328348987	0.2857142857142857	600.876967872995																																																																																																																																
14	ieu	IEu	0.2222222222222222	1.746031746031746	0.2222222222222222	1.746031746031746					0.2222222222222222	709.2262235227006	0.2222222222222222	612.5898142325999	-2	612.2839003660908	-2	575.8428253040977	-2	707.3267328348987	-2	598.876967872995																																													0.2222222222222222	537.2327955321944	0.2222222222222222	706.0499668318674													0.2222222222222222	579.9127571656124	0.2222222222222222	475.1796968754702																																																																
15	AO	ao	0.2857142857142857	2.0317460317460316	0.2857142857142857	2.0317460317460316	0.2857142857142857	523.3121382930289	0.2857142857142857	576.019200161317	0.2857142857142857	709.5119378084149	0.2857142857142857	612.8755285183142					-2	705.3267328348987	-2	596.876967872995																																																																																																																																
17	oua	OyA	0.4	2.4317460317460315	0.4	2.4317460317460315	-2	521.3121382930289	-2	574.019200161317	-2	707.5119378084149	-2	610.8755285183142					0.4	705.7267328348987	0.4	597.276967872995																																																																																																																																
18	aIo	aio			0.3333333333333333	2.765079365079365							-2	608.8755285183142	0.3333333333333333	612.6172336994242	0.3333333333333333	576.1761586374311	0.3333333333333333	706.0600661682321	0.3333333333333333	597.6103012063284																																																									-2	714.8772821302853	-2	727.3891744054624	-2	577.9127571656124	-2	473.1796968754702																																																													-2	747.769765823554	-2	541.3289144034736
