trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		111.74		132.84		179.72		229.7		100.0		110.84		158.02		253.24		100.0		100.0		100.0		100.0		102.26		104.12		106.8		112.94		100.0		100.0		100.0		100.0		106.72		111.88		119.52		135.78		100.0		100.0		100.0		100.0		112.14		117.78		135.48000000000002		153.66		100.0		100.0		100.0		100.0		117.9		123.08		153.16		170.14		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		102.24		103.6		104.44		106.38		100.0		100.0		100.0		100.0		107.44		110.34		115.22		119.48		100.0		100.0		100.0		100.0		118.42		124.03999999999999		137.3		145.92000000000002
1	AOO	Aoo			2	2	2	113.74	2	134.84	2	181.72	2	231.7					-2	156.02	-2	251.24																									-2	104.72	-2	109.88	-2	117.52	-2	133.78									-2	110.14	-2	115.78	-2	133.48000000000002	-2	151.66									-2	115.9	-2	121.08	-2	151.16	-2	168.14																																																																
2	iyy	iuu			2	4			2	136.84	2	183.72	2	233.7							-2	249.24																																																													-2	149.16	-2	166.14																																																																
3	Aie	aie	2	2	2	6			2	138.84	2	185.72	2	235.7							-2	247.24																																																																																																																											-2	122.03999999999999	-2	135.3	-2	143.92000000000002
4	iy	iu			2	8			2	140.84	2	187.72	2	237.7							-2	245.24																																																													-2	147.16	-2	164.14																																																																
5	eii	Eii	2	4	2	10					2	189.72	2	239.7			-2	108.84	-2	154.02	-2	243.24																																																																																													-2	102.44	-2	104.38													-2	113.22	-2	117.48													-2	133.3	-2	141.92000000000002
6	EuE	eue	2	6	2	12					-2	187.72	-2	237.7			2	110.84	2	156.02	2	245.24																																													-2	131.48000000000002	-2	149.66													-2	145.16	-2	162.14																																																									-2	116.42	-2	120.03999999999999	-2	131.3	-2	139.92000000000002
7	OiO	oio	2	8	2	14	2	115.74	2	142.84	2	189.72	2	239.7					-2	154.02	-2	243.24																																																									-2	113.9	-2	119.08	-2	143.16	-2	160.14																																													-2	111.22	-2	115.48													-2	129.3	-2	137.92000000000002
8	eei	Eei	2	10	2	16					2	191.72	2	241.7			-2	108.84	-2	152.02	-2	241.24																																																																																									-2	100.24	-2	101.6	-2	100.44	-2	102.38									-2	105.44	-2	108.34	-2	109.22	-2	113.48									-2	114.42	-2	118.03999999999999	-2	127.30000000000001	-2	135.92000000000002
9	eiO	eio			2	18	2	117.74	2	144.84	2	193.72	2	243.7					-2	150.02	-2	239.24																																											-2	113.78			-2	147.66									-2	111.9	-2	117.08	-2	141.16	-2	158.14																																																																
10	Iau	iau	2	12	2	20							-2	241.7	2	102.0	2	110.84	2	152.02	2	241.24																																																													-2	139.16	-2	156.14																																																																
11	yee	uee	2	14	2	22			2	146.84	2	195.72	2	243.7							-2	239.24																																																																																																																									-2	112.42	-2	116.03999999999999	-2	125.30000000000001	-2	133.92000000000002
12	EII	eii	2	16	2	24					-2	193.72	-2	241.7	2	104.0	2	112.84	2	154.02	2	241.24																																																																																																																																
13	yyA	yua			2	26			2	148.84	2	195.72	2	243.7							-2	239.24																													-2	115.52	-2	131.78													-2	129.48000000000002	-2	145.66													-2	137.16	-2	154.14																																																																
14	ooo	Ooo	2	18	2	28	-2	115.74	-2	146.84	-2	193.72	-2	241.7					2	156.02	2	241.24									-2	100.26	-2	102.12	-2	104.8	-2	110.94									-2	102.72	-2	107.88	-2	113.52	-2	129.78									-2	108.14	-2	111.78	-2	127.48000000000002	-2	143.66									-2	109.9	-2	115.08	-2	135.16	-2	152.14																																																																
15	OAe	Oae			2	30			2	148.84	2	195.72	2	243.7							-2	239.24													-2	102.8	-2	108.94													-2	111.52	-2	127.78													-2	125.48000000000002	-2	141.66													-2	133.16	-2	150.14																																																									-2	110.42	-2	114.03999999999999	-2	123.30000000000001	-2	131.92000000000002
16	EII	Eii			2	32							-2	241.7	2	106.0	2	114.84	2	158.02	2	241.24																																																																																													-2	98.44	-2	100.38													-2	107.22	-2	111.48													-2	121.30000000000001	-2	129.92000000000002
19	AiO	aio	2	20	2	34	2	117.74	2	150.84	2	197.72	2	243.7					-2	156.02	-2	239.24																																																									-2	107.9	-2	113.08	-2	131.16	-2	148.14																																																													-2	119.30000000000001	-2	127.92000000000002
21	uIu	uiu			2	36							-2	241.7	2	108.0	2	116.84	2	158.02	2	241.24																																																													-2	129.16	-2	146.14																																																													-2	117.30000000000001	-2	125.92000000000002
22	ooE	Ooe	2	22	2	38	-2	115.74	-2	148.84	-2	195.72	-2	239.7			2	118.84	2	160.02	2	243.24									-2	98.26	-2	100.12	-2	100.8	-2	106.94									-2	100.72	-2	105.88	-2	109.52	-2	125.78									-2	106.14	-2	109.78	-2	123.48000000000002	-2	139.66									-2	105.9	-2	111.08	-2	127.16	-2	144.14																																									-2	103.44	-2	106.34	-2	105.22	-2	109.48									-2	108.42	-2	112.03999999999999	-2	115.30000000000001	-2	123.92000000000002
23	Ayi	Aui			2	40			2	150.84	2	197.72	2	241.7							-2	241.24																													-2	107.52	-2	123.78													-2	121.48000000000002	-2	137.66													-2	125.16	-2	142.14																																																													-2	113.30000000000001	-2	121.92000000000002
