trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		124.6		176.18		201.66		255.84		109.5		138.72		168.64		226.92000000000002		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		104.02		105.4		108.16		110.8		115.52		120.76		100.0		100.0		100.0		100.0		100.0		100.0		101.88		103.1		100.0		100.0		100.0		100.0		100.0		100.0		106.12		108.68		100.0		100.0		100.0		100.0		100.0		100.0		109.98		113.58		100.0		100.0		100.0		100.0		100.0		100.0		117.22		123.18
1	uII	yii	2	2	2	2			-2	174.18	-2	199.66	-2	253.84	2	111.5	2	140.72	2	170.64	2	228.92000000000002																																																																																																																																
2	uaa	yAA	2	4	2	4			-2	172.18	-2	197.66	-2	251.84							2	230.92000000000002																																																																																																																																
4	EaE	eAe	2	6	2	6			-2	170.18	-2	195.66	-2	249.84			2	142.72	2	172.64	2	232.92000000000002																																																																																																																																
7	IIa	iiA	2	8	2	8			-2	168.18	-2	193.66	-2	247.84	2	113.5	2	144.72	2	174.64	2	234.92000000000002																																																																																																																																
8	uua	yyA	2	10	2	10			-2	166.18	-2	191.66	-2	245.84							2	236.92000000000002																																																																																																																																
10	Eua	eyA	2	12	2	12			-2	164.18	-2	189.66	-2	243.84			2	146.72	2	176.64	2	238.92000000000002																																																																																																																																
11	IEI	iei	2	14	2	14					-2	187.66	-2	241.84	2	115.5	2	148.72	2	178.64	2	240.92000000000002																																																																																																																																
13	yeA	uEa	2	16	2	16			2	166.18	2	189.66	2	243.84			-2	146.72	-2	176.64	-2	238.92000000000002																																																																																																																																
14	aoI	aoi			2	18							-2	241.84	2	117.5	2	148.72	2	178.64	2	240.92000000000002																																																																																																													-2	107.98	-2	111.58													-2	115.22	-2	121.18
15	ey	Eu	2	18	2	20			2	168.18	2	191.66	2	243.84			-2	146.72	-2	176.64	-2	238.92000000000002																																																																																																																																
16	IEa	ieA	2	20	2	22			-2	166.18	-2	189.66	-2	241.84	2	119.5	2	148.72	2	178.64	2	240.92000000000002																																																																																																																																
19	aaa	AAA	2	22	2	24			-2	164.18	-2	187.66	-2	239.84							2	242.92000000000002																																																																																																																																
20	iyA	Iua	2	24	2	26			2	166.18	2	189.66	2	241.84	-2	117.5	-2	146.72	-2	176.64	-2	240.92000000000002																																																																																																																																
21	AAy	aau	2	26	2	28			2	168.18	2	191.66	2	243.84							-2	238.92000000000002																																																																																																																																
22	IEI	iEi	2	28	2	30							-2	241.84	2	119.5	2	148.72	2	178.64	2	240.92000000000002																																																					-2	102.02	-2	103.4	-2	106.16	-2	108.8	-2	113.52	-2	118.76																													-2	104.12	-2	106.68													-2	105.98	-2	109.58													-2	113.22	-2	119.18
23	uoE	yOe	2	30	2	32	-2	122.6	-2	166.18	-2	189.66	-2	239.84			2	150.72	2	180.64	2	242.92000000000002																																																																																																																																
24	Iuo	iyO	2	32	2	34	-2	120.6	-2	164.18	-2	187.66	-2	237.84	2	121.5	2	152.72	2	182.64	2	244.92000000000002																																																																																																																																
25	iyy	iuu			2	36			2	166.18	2	189.66	2	239.84							-2	242.92000000000002																																																													-2	111.52	-2	116.76																																																																
27	Ai	ai	2	34	2	38			2	168.18	2	191.66	2	241.84							-2	240.92000000000002																																																																																																																													-2	111.22	-2	117.18
28	oEI	Oei	2	36	2	40	-2	118.6	-2	166.18	-2	189.66	-2	239.84	2	123.5	2	154.72	2	184.64	2	242.92000000000002																																																																																																																																
29	uEI	yei	2	38	2	42			-2	164.18	-2	187.66	-2	237.84	2	125.5	2	156.72	2	186.64	2	244.92000000000002																																																																																																																																
31	Ae	aE	2	40	2	44			2	166.18	2	189.66	2	239.84			-2	154.72	-2	184.64	-2	242.92000000000002																																																																																																																																
33	iOO	ioo			2	46	2	120.6	2	168.18	2	191.66	2	241.84					-2	182.64	-2	240.92000000000002																																																									-2	104.16	-2	106.8	-2	109.52	-2	114.76																																																																
34	eeO	EEo	2	42	2	48	2	122.6	2	170.18	2	193.66	2	243.84			-2	152.72	-2	180.64	-2	238.92000000000002																																																																																																																																
37	uoI	uoi			2	50							-2	241.84	2	127.5	2	154.72	2	182.64	2	240.92000000000002																																																																																																													-2	103.98	-2	107.58													-2	109.22	-2	115.18
39	EIa	Eia			2	52							-2	239.84	2	129.5	2	156.72	2	184.64	2	242.92000000000002																																																													-2	107.52	-2	112.76																													-2	102.12	-2	104.68													-2	101.98	-2	105.58													-2	107.22	-2	113.18
40	uaI	yAi	2	44	2	54			-2	168.18	-2	191.66	-2	237.84	2	131.5	2	158.72	2	186.64	2	244.92000000000002																																																																																																																																
41	Oye	ouE	2	46	2	56	2	124.6	2	170.18	2	193.66	2	239.84			-2	156.72	-2	184.64	-2	242.92000000000002																																																																																																																																
42	oII	Oii	2	48	2	58	-2	122.6	-2	168.18	-2	191.66	-2	237.84	2	133.5	2	158.72	2	186.64	2	244.92000000000002																																																																																																																																
45	iOA	Ioa	2	50	2	60	2	124.6	2	170.18	2	193.66	2	239.84	-2	131.5	-2	156.72	-2	184.64	-2	242.92000000000002																																																																																																																																
46	Oy	ou	2	52	2	62	2	126.6	2	172.18	2	195.66	2	241.84					-2	182.64	-2	240.92000000000002																																																																																																																																
47	eOA	Eoa	2	54	2	64	2	128.6	2	174.18	2	197.66	2	243.84			-2	154.72	-2	180.64	-2	238.92000000000002																																																																																																																																
48	uEo	yeO	2	56	2	66	-2	126.6	-2	172.18	-2	195.66	-2	241.84			2	156.72	2	182.64	2	240.92000000000002																																																																																																																																
49	Ae	aE	2	58	2	68			2	174.18	2	197.66	2	243.84			-2	154.72	-2	180.64	-2	238.92000000000002																																																																																																																																
52	IEI	iei	2	60	2	70					-2	195.66	-2	241.84	2	133.5	2	156.72	2	182.64	2	240.92000000000002																																																																																																																																
54	Ioo	ioo	2	62	2	72							-2	239.84	2	135.5	2	158.72	2	184.64	2	242.92000000000002																																																									-2	102.16	-2	104.8	-2	105.52	-2	110.76																																																																
55	iOO	Ioo	2	64	2	74	2	128.6	2	176.18	2	197.66	2	241.84	-2	133.5	-2	156.72	-2	182.64	-2	240.92000000000002																																																																																																																																
56	IEo	iEo	2	66	2	76							-2	239.84	2	135.5	2	158.72	2	184.64	2	242.92000000000002																																																					-2	100.02	-2	101.4	-2	100.16	-2	102.8	-2	103.52	-2	108.76																																																																
58	eAy	Eau	2	68	2	78			2	178.18	2	199.66	2	241.84			-2	156.72	-2	182.64	-2	240.92000000000002																																																																																																																																
59	oaI	OAi	2	70	2	80	-2	126.6	-2	176.18	-2	197.66	-2	239.84	2	137.5	2	158.72	2	184.64	2	242.92000000000002																																																																																																																																
60	Iao	iao	2	72	2	82							-2	237.84	2	139.5	2	160.72	2	186.64	2	244.92000000000002																																																											-2	100.8	-2	101.52	-2	106.76																																																																
61	iiy	Iiu	2	74	2	84			2	178.18	2	199.66	2	239.84	-2	137.5	-2	158.72	-2	184.64	-2	242.92000000000002																																																													-2	99.52	-2	104.76													-2	99.88	-2	101.1													-2	100.12	-2	102.68													-2	99.98	-2	103.58													-2	105.22	-2	111.18
64	Oey	oEu	2	76	2	86	2	128.6	2	180.18	2	201.66	2	241.84			-2	156.72	-2	182.64	-2	240.92000000000002																																																																																																																																
