Id(Bk)Syl1	 124 
Id(Bk)	 104 
*F1	 108 
*F3	 110 
*F4	 100 
*F5	 100 
*B1	 106 
*B2	 110 
*B3	 102 
*B5	 100 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 94 
*F1..._B3	 92 
*F1_B5	 92 
*F1..._B5	 92 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100 
*F3..._B2	 100 
*F3_B3	 90 
*F3..._B3	 86 
*F3_B5	 74 
*F3..._B5	 72 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 102 
*F4..._B2	 102 
*F4_B3	 88 
*F4..._B3	 82 
*F4_B5	 62 
*F4..._B5	 60 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 102 
*F5..._B2	 106 
*F5_B3	 84 
*F5..._B3	 82 
*F5_B5	 48 
*F5..._B5	 54 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 102 
*_B2...F1	 102 
*_B2F3	 102 
*_B2...F3	 104 
*_B2F4	 100 
*_B2...F4	 98 
*_B2F5	 100 
*_B2...F5	 96 
*_B3F1	 102 
*_B3...F1	 102 
*_B3F3	 102 
*_B3...F3	 104 
*_B3F4	 98 
*_B3...F4	 94 
*_B3F5	 94 
*_B3...F5	 92 
*_B5F1	 104 
*_B5...F1	 104 
*_B5F3	 104 
*_B5...F3	 106 
*_B5F4	 84 
*_B5...F4	 78 
*_B5F5	 80 
*_B5...F5	 80 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 1 	OO	 0 	OO	 0 	 0 	 9 	 0 	 0.009 
 1 	OO	 1 	Oo	 0 	 0 	 991 	 0 	 0.991 
 1 	OO	 2 	oO	 0 	 0 	 0 	 0 	 0 
 1 	OO	 3 	oo	 0 	 0 	 0 	 0 	 0 
 2 	OA	 0 	OA	 0 	 0 	 21 	 0 	 0.021 
 2 	OA	 1 	Oa	 0 	 0 	 979 	 0 	 0.979 
 2 	OA	 2 	oA	 0 	 0 	 0 	 0 	 0 
 2 	OA	 3 	oa	 0 	 0 	 0 	 0 	 0 
 3 	Oy	 0 	Oy	 0 	 0 	 21 	 0 	 0.021 
 3 	Oy	 1 	Ou	 0 	 0 	 979 	 0 	 0.979 
 3 	Oy	 2 	oy	 0 	 0 	 0 	 0 	 0 
 3 	Oy	 3 	ou	 0 	 0 	 0 	 0 	 0 
 4 	Oe	 0 	Oe	 1 	 9 	 1000 	 1 	 1 
 4 	Oe	 1 	OE	 0 	 0 	 0 	 0 	 0 
 4 	Oe	 2 	oe	 0 	 0 	 0 	 0 	 0 
 4 	Oe	 3 	oE	 0 	 0 	 0 	 0 	 0 
 5 	Oi	 0 	Oi	 1 	 18 	 1000 	 1 	 1 
 5 	Oi	 1 	OI	 0 	 0 	 0 	 0 	 0 
 5 	Oi	 2 	oi	 0 	 0 	 0 	 0 	 0 
 5 	Oi	 3 	oI	 0 	 0 	 0 	 0 	 0 
 6 	OI	 0 	OI	 0 	 0 	 10 	 0 	 0.01 
 6 	OI	 1 	Oi	 0 	 0 	 990 	 0 	 0.99 
 6 	OI	 2 	oI	 0 	 0 	 0 	 0 	 0 
 6 	OI	 3 	oi	 0 	 0 	 0 	 0 	 0 
 7 	OE	 0 	OE	 0 	 0 	 11 	 0 	 0.011 
 7 	OE	 1 	Oe	 0 	 0 	 989 	 0 	 0.989 
 7 	OE	 2 	oE	 0 	 0 	 0 	 0 	 0 
 7 	OE	 3 	oe	 0 	 0 	 0 	 0 	 0 
 8 	Oo	 0 	Oo	 1 	 8 	 1000 	 1 	 1 
 8 	Oo	 1 	OO	 0 	 0 	 0 	 0 	 0 
 8 	Oo	 2 	oo	 0 	 0 	 0 	 0 	 0 
 8 	Oo	 3 	oO	 0 	 0 	 0 	 0 	 0 
 9 	Oa	 0 	Oa	 1 	 11 	 1000 	 1 	 1 
 9 	Oa	 1 	OA	 0 	 0 	 0 	 0 	 0 
 9 	Oa	 2 	oa	 0 	 0 	 0 	 0 	 0 
 9 	Oa	 3 	oA	 0 	 0 	 0 	 0 	 0 
 10 	Ou	 0 	Ou	 1 	 16 	 1000 	 1 	 1 
 10 	Ou	 1 	Oy	 0 	 0 	 0 	 0 	 0 
 10 	Ou	 2 	ou	 0 	 0 	 0 	 0 	 0 
 10 	Ou	 3 	oy	 0 	 0 	 0 	 0 	 0 
 11 	AO	 0 	AO	 0 	 0 	 9 	 0 	 0.009 
 11 	AO	 1 	Ao	 0 	 0 	 991 	 0 	 0.991 
 11 	AO	 2 	aO	 0 	 0 	 0 	 0 	 0 
 11 	AO	 3 	ao	 0 	 0 	 0 	 0 	 0 
 12 	AA	 0 	AA	 0 	 0 	 21 	 0 	 0.021 
 12 	AA	 1 	Aa	 0 	 0 	 979 	 0 	 0.979 
