trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	IdBkSyl1>>IdBk	20	20																																																																																																																																																		
1	uu	yy	1.5	21.5	1.5	1.5			-2	98	-2	98	-2	98							1.5	101.5																																																																																																																																
3	AO	ao	0.5714285714285714	22.071428571428573	0.5714285714285714	2.071428571428571	0.5714285714285714	100.57142857142857	0.5714285714285714	98.57142857142857	0.5714285714285714	98.57142857142857	0.5714285714285714	98.57142857142857					-2	98	-2	99.5																																																																																																																																
5	Eua	eua	2.0	24.071428571428573	2.0	4.071428571428571					-2	96.57142857142857	-2	96.57142857142857			2.0	102.0	2.0	100.0	2.0	101.5																																													-2	98	-2	98													-2	98	-2	98																																																																
6	ioE	iOe			0.8	4.871428571428571	-2	98.57142857142857	-2	96.57142857142857	-2	94.57142857142857	-2	94.57142857142857			0.8	102.8	0.8	100.8	0.8	102.3																																																							0.8	100.8	0.8	100.8	0.8	100.8	0.8	98.8	0.8	98.8																																																																
6	Apriori	IdBkSyl1>>IdBk	0.7999999999999972	24.87142857142857																																																																																																																																																		
10	eiO	eio			2.6666666666666665	7.538095238095238	2.6666666666666665	101.23809523809524	2.6666666666666665	99.23809523809524	2.6666666666666665	97.23809523809524	2.6666666666666665	97.23809523809524					-2	98.8	-2	100.3																																											-2	98			-2	96									-2	98.8	-2	98.8	-2	96.8	-2	96.8																																																																
10	Apriori	IdBkSyl1>>IdBk	2.666666666666668	27.538095238095238																																																																																																																																																		
12	eyA	eua			2.0	9.538095238095238			2.0	101.23809523809524	2.0	99.23809523809524	2.0	99.23809523809524							-2	98.3																																													-2	96	-2	94													-2	94.8	-2	94.8																																																																
12	Apriori	IdBkSyl1>>IdBk	2.0	29.538095238095238																																																																																																																																																		
13	ua	yA	1.5	31.038095238095238	1.5	11.038095238095238			-2	99.23809523809524	-2	97.23809523809524	-2	97.23809523809524							1.5	99.8																																																																																																																																
