trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	IdBkSyl1>>IdBk	20	20																																																																																																																																																		
2	EIE	Eie			3.6666666666666665	3.6666666666666665					-2	98	-2	98	3.6666666666666665	103.66666666666667	3.6666666666666665	103.66666666666667	3.6666666666666665	103.66666666666667	3.6666666666666665	103.66666666666667																																																																																											-2	98	-2	98	-2	98											-2	98	-2	98	-2	98											-2	98	-2	98	-2	98
2	Apriori	IdBkSyl1>>IdBk	3.666666666666668	23.666666666666668																																																																																																																																																		
3	eiy	Eiu	3.6666666666666665	27.333333333333336	3.6666666666666665	7.333333333333333			3.6666666666666665	103.66666666666667	3.6666666666666665	101.66666666666667	3.6666666666666665	101.66666666666667			-2	101.66666666666667	-2	101.66666666666667	-2	101.66666666666667																																																													-2	98	-2	98																													-2	96	-2	96													-2	96	-2	96													-2	96	-2	96
4	eai	Eai	1.3333333333333333	28.666666666666668	1.3333333333333333	8.666666666666666					1.3333333333333333	103.0	1.3333333333333333	103.0			-2	99.66666666666667	-2	99.66666666666667	-2	99.66666666666667																																													1.3333333333333333	101.33333333333333	1.3333333333333333	101.33333333333333													1.3333333333333333	99.33333333333333	1.3333333333333333	99.33333333333333																															-2	94															-2	94															-2	94
5	ouu	Ouu	4.8	33.46666666666667	4.8	13.466666666666665	-2	98	-2	101.66666666666667	-2	101.0	-2	101.0					4.8	104.46666666666667	4.8	104.46666666666667													-2	98	-2	98													-2	98	-2	98													-2	99.33333333333333	-2	99.33333333333333													-2	97.33333333333333	-2	97.33333333333333																																																																
6	Oye	oue	2.2857142857142856	35.75238095238095	2.2857142857142856	15.75238095238095	2.2857142857142856	100.28571428571429	2.2857142857142856	103.95238095238096	2.2857142857142856	103.28571428571429	2.2857142857142856	103.28571428571429					-2	102.46666666666667	-2	102.46666666666667																																																																																																											-2	96			-2	92									-2	98	-2	96	-2	94	-2	92
7	aii	Aii	1.0	36.75238095238095	1.0	16.75238095238095			-2	101.95238095238096	-2	101.28571428571429	-2	101.28571428571429							1.0	103.46666666666667																																																																																																																													1.0	95.0	1.0	93.0
9	eyO	Euo	0.8571428571428571	37.60952380952381	0.8571428571428571	17.609523809523807	0.8571428571428571	101.14285714285715	0.8571428571428571	102.80952380952382	0.8571428571428571	102.14285714285715	0.8571428571428571	102.14285714285715			-2	97.66666666666667	-2	100.46666666666667	-2	101.46666666666667																																																																																																																																
